250365
start_date end_date duration peak sum average median
07/01/1936 08/01/1936 1 -3.12 -3.12 -3.12 -3.12
09/01/1936 12/01/1936 3 -1.78 -4.74 -1.58 -1.65
10/01/1938 12/01/1938 2 -1.74 -1.98 -0.99 -0.99
07/01/1939 10/01/1939 3 -1.93 -4.67 -1.56 -1.51
05/01/1940 10/01/1940 5 -1.68 -4.33 -0.87 -0.69
07/01/1942 09/01/1942 2 -1.65 -2.12 -1.06 -1.06
09/01/1943 01/01/1944 4 -1.78 -2.61 -0.65 -0.38
03/01/1947 04/01/1947 1 -2.34 -2.34 -2.34 -2.34
04/01/1950 07/01/1950 3 -1.79 -4.43 -1.48 -1.73
09/01/1953 10/01/1953 1 -2.21 -2.21 -2.21 -2.21
07/01/1954 08/01/1954 1 -1.57 -1.57 -1.57 -1.57
03/01/1955 05/01/1955 2 -1.95 -3.7 -1.85 -1.85
03/01/1956 06/01/1956 3 -1.78 -2.95 -0.98 -0.79
09/01/1956 11/01/1956 2 -2.09 -2.45 -1.22 -1.22
04/01/1959 05/01/1959 1 -1.86 -1.86 -1.86 -1.86
12/01/1959 01/01/1960 1 -1.5 -1.5 -1.5 -1.5
06/01/1961 07/01/1961 1 -1.71 -1.71 -1.71 -1.71
08/01/1962 09/01/1962 1 -2.24 -2.24 -2.24 -2.24
05/01/1963 06/01/1963 1 -1.98 -1.98 -1.98 -1.98
10/01/1964 01/01/1965 3 -1.72 -2.56 -0.85 -0.51
05/01/1966 06/01/1966 1 -1.82 -1.82 -1.82 -1.82
10/01/1966 05/01/1967 7 -1.52 -5.75 -0.82 -0.78
05/01/1970 06/01/1970 1 -1.58 -1.58 -1.58 -1.58
08/01/1970 11/01/1970 3 -2 -3 -1 -0.5
08/01/1972 09/01/1972 1 -2 -2 -2 -2
06/01/1976 10/01/1976 4 -1.78 -3.16 -0.79 -0.52
09/01/1977 11/01/1977 2 -1.51 -2.35 -1.17 -1.17
03/01/1978 04/01/1978 1 -2.06 -2.06 -2.06 -2.06
09/01/1978 11/01/1978 2 -1.89 -2.82 -1.41 -1.41
07/01/1980 08/01/1980 1 -1.69 -1.69 -1.69 -1.69
06/01/1985 08/01/1985 2 -1.82 -1.92 -0.96 -0.96
12/01/1988 02/01/1989 2 -1.61 -2.54 -1.27 -1.27
04/01/1989 08/01/1989 4 -2.14 -7.36 -1.84 -1.77
10/01/1989 01/01/1990 3 -1.74 -3.11 -1.04 -1.31
04/01/1992 06/01/1992 2 -2.21 -3.78 -1.89 -1.89
08/01/1994 10/01/1994 2 -2.24 -2.59 -1.3 -1.3
12/01/1995 05/01/1996 5 -1.61 -5.65 -1.13 -1.01
03/01/1997 08/01/1997 5 -1.71 -4.52 -0.9 -0.79
10/01/1999 01/01/2000 3 -1.74 -3.61 -1.2 -1.61
08/01/2000 09/01/2000 1 -1.93 -1.93 -1.93 -1.93
12/01/2001 04/01/2002 4 -1.61 -3.88 -0.97 -0.91
05/01/2002 08/01/2002 3 -1.95 -4.28 -1.43 -1.88
08/01/2003 02/01/2004 6 -1.61 -4.11 -0.68 -0.57
09/01/2005 10/01/2005 1 -1.85 -1.85 -1.85 -1.85
05/01/2006 06/01/2006 1 -1.85 -1.85 -1.85 -1.85
