250365
start_date end_date duration peak sum average median
07/01/1936 12/01/1936 5 -2.87 -9.56 -1.91 -2.18
08/01/1939 11/01/1939 3 -2.59 -5.23 -1.74 -2.08
09/01/1943 01/01/1944 4 -2.23 -4.52 -1.13 -0.98
03/01/1947 06/01/1947 3 -2.48 -3.94 -1.31 -0.74
08/01/1947 10/01/1947 2 -2.21 -2.67 -1.33 -1.33
06/01/1950 07/01/1950 1 -2.01 -2.01 -2.01 -2.01
01/01/1951 06/01/1951 5 -2.21 -7.3 -1.46 -1.49
08/01/1952 04/01/1953 8 -2.11 -6.8 -0.85 -0.75
02/01/1954 06/01/1954 4 -2.21 -4.04 -1.01 -0.76
04/01/1955 05/01/1955 1 -2.7 -2.7 -2.7 -2.7
12/01/1959 02/01/1960 2 -2.72 -3.38 -1.69 -1.69
05/01/1963 07/01/1963 2 -2.12 -2.71 -1.36 -1.36
05/01/1966 07/01/1966 2 -2.08 -2.25 -1.12 -1.12
10/01/1978 12/01/1978 2 -2.1 -2.48 -1.24 -1.24
01/01/1989 02/01/1989 1 -2.08 -2.08 -2.08 -2.08
05/01/1989 09/01/1989 4 -2.77 -9.09 -2.27 -2.53
11/01/1989 01/01/1990 2 -2.21 -3.35 -1.68 -1.68
05/01/1992 07/01/1992 2 -2.7 -3.08 -1.54 -1.54
01/01/1996 05/01/1996 4 -2.08 -6.79 -1.7 -1.7
08/01/2000 10/01/2000 2 -2.18 -3.02 -1.51 -1.51
06/01/2002 08/01/2002 2 -2.94 -4.42 -2.21 -2.21
02/01/2008 04/01/2008 2 -2.18 -3.71 -1.85 -1.85
