250365
spi frequency percentage rankingpercentile
-3.1 1 0.11 1.96
-2.3 1 0.11 3.92
-2.2 4 0.45 5.88
-2.1 3 0.34 7.84
-2 4 0.45 9.8
-1.9 8 0.9 11.76
-1.8 9 1.01 13.73
-1.7 11 1.24 15.69
-1.6 10 1.13 17.65
-1.5 7 0.79 19.61
-1.4 7 0.79 21.57
-1.3 25 2.82 23.53
-1.2 27 3.04 25.49
-1.1 13 1.46 27.45
-1 22 2.48 29.41
-0.9 24 2.7 31.37
-0.8 28 3.15 33.33
-0.7 20 2.25 35.29
-0.6 25 2.82 37.25
-0.5 34 3.83 39.22
-0.4 32 3.6 41.18
-0.3 31 3.49 43.14
-0.2 42 4.73 45.1
-0.1 39 4.39 47.06
0 28 3.15 49.02
0.1 27 3.04 50.98
0.2 38 4.28 52.94
0.3 43 4.84 54.9
0.4 36 4.05 56.86
0.5 23 2.59 58.82
0.6 39 4.39 60.78
0.7 23 2.59 62.75
0.8 26 2.93 64.71
0.9 28 3.15 66.67
1 26 2.93 68.63
1.1 14 1.58 70.59
1.2 17 1.91 72.55
1.3 17 1.91 74.51
1.4 9 1.01 76.47
1.5 9 1.01 78.43
1.6 7 0.79 80.39
1.7 12 1.35 82.35
1.8 8 0.9 84.31
1.9 9 1.01 86.27
2 5 0.56 88.24
2.1 5 0.56 90.2
2.2 4 0.45 92.16
2.3 2 0.23 94.12
2.4 4 0.45 96.08
2.5 1 0.11 98.04
2.8 1 0.11 100
