250365
date spi1 spi2
01/01/1936 1.03 -99
02/01/1936 0.99 1.15
03/01/1936 -0.14 0.26
04/01/1936 0.64 0.36
05/01/1936 0.09 0.33
06/01/1936 -1.09 -0.74
07/01/1936 -3.12 -2.42
08/01/1936 0.51 -1.47
09/01/1936 -1.78 -0.63
10/01/1936 -1.65 -2.87
11/01/1936 -1.31 -2.18
12/01/1936 2.48 1.28
01/01/1937 1.66 2.54
02/01/1937 -0.2 0.98
03/01/1937 -0.08 -0.26
04/01/1937 -0.14 -0.31
05/01/1937 -1.18 -1.05
06/01/1937 -0.05 -0.97
07/01/1937 -0.39 -0.41
08/01/1937 0.45 -0.22
09/01/1937 1.68 1.65
10/01/1937 0.32 1.53
11/01/1937 -1.31 -0.23
12/01/1937 1.26 0.15
01/01/1938 -1.24 0.43
02/01/1938 0.47 -0.34
03/01/1938 0.57 0.55
04/01/1938 1.99 1.89
05/01/1938 0.23 1.35
06/01/1938 -1.29 -0.71
07/01/1938 0.33 -0.51
08/01/1938 -0.53 -0.1
09/01/1938 0.69 0.15
10/01/1938 -1.74 -0.07
11/01/1938 -0.23 -1.79
12/01/1938 0.02 -0.36
01/01/1939 1.71 1.15
02/01/1939 1.82 2.09
03/01/1939 2.29 2.51
04/01/1939 -0.44 1.25
05/01/1939 0.44 0.05
06/01/1939 0.4 0.48
07/01/1939 -1.93 -0.79
08/01/1939 -1.23 -2.59
09/01/1939 -1.51 -2.08
10/01/1939 0.63 -0.55
11/01/1939 -1.31 0.09
12/01/1939 0.92 -0.17
01/01/1940 0.71 0.94
02/01/1940 -1.16 -0.1
03/01/1940 0.63 0.2
04/01/1940 0.66 0.73
05/01/1940 -1.68 -0.68
06/01/1940 -0.6 -1.73
07/01/1940 -0.64 -0.93
08/01/1940 -0.72 -1.17
09/01/1940 -0.69 -1.19
10/01/1940 0.55 -0.28
11/01/1940 1.2 0.94
12/01/1940 1.46 1.59
01/01/1941 1.25 1.61
02/01/1941 1.32 1.5
03/01/1941 0.85 1.14
04/01/1941 0.9 1.05
05/01/1941 -0.09 0.37
06/01/1941 0.8 0.39
07/01/1941 -0.01 0.41
08/01/1941 0.17 -0.07
09/01/1941 1.03 0.85
10/01/1941 1.37 1.41
11/01/1941 -0.38 1.01
12/01/1941 1.07 0.32
01/01/1942 -0.2 0.62
02/01/1942 2.12 1.56
03/01/1942 0.45 1.3
04/01/1942 2 1.86
05/01/1942 1.82 2.41
06/01/1942 0.14 1.53
07/01/1942 -1.65 -0.91
08/01/1942 -0.47 -1.82
09/01/1942 0.25 -0.25
10/01/1942 0.21 0.17
11/01/1942 0.21 0.13
12/01/1942 -0.51 -0.23
01/01/1943 -1.16 -1.32
02/01/1943 -0.63 -1.45
03/01/1943 -0.05 -0.38
04/01/1943 0.46 0.24
05/01/1943 -0.76 -0.36
06/01/1943 -0.36 -0.96
07/01/1943 0.45 0.03
08/01/1943 -1.25 -0.26
09/01/1943 -1.78 -2.23
10/01/1943 -0.07 -1.26
11/01/1943 -0.29 -0.34
12/01/1943 -0.46 -0.7
01/01/1944 1.8 1.08
02/01/1944 0.24 1.26
03/01/1944 0.01 -0.01
04/01/1944 -0.23 -0.33
05/01/1944 -0.65 -0.74
06/01/1944 0.63 -0.09
07/01/1944 1.07 1.07
08/01/1944 0.41 1.12
09/01/1944 -0.26 -0.08
10/01/1944 -1.23 -0.94
11/01/1944 1.88 0.53
12/01/1944 -0.32 1.52
01/01/1945 -0.46 -0.63
02/01/1945 -0.06 -0.44
03/01/1945 -0.32 -0.41
04/01/1945 0.05 -0.25
05/01/1945 -1.16 -0.9
06/01/1945 0.37 -0.6
07/01/1945 0.36 0.38
08/01/1945 1.38 1.01
09/01/1945 0.83 1.38
10/01/1945 -0.66 0.37
11/01/1945 -0.13 -0.77
12/01/1945 0.3 -0.1
01/01/1946 -0.81 -0.32
02/01/1946 -0.27 -0.83
03/01/1946 1.02 0.74
04/01/1946 -0.49 0.16
05/01/1946 0.9 0.44
06/01/1946 -0.91 0.13
07/01/1946 -0.86 -1.28
08/01/1946 0.58 -0.48
09/01/1946 0.88 0.93
10/01/1946 1.41 1.31
11/01/1946 0.86 1.45
12/01/1946 -1.01 0.31
01/01/1947 0.9 0.16
02/01/1947 -1 0.1
03/01/1947 -2.34 -2.48
04/01/1947 0.01 -0.72
05/01/1947 -0.86 -0.74
06/01/1947 1.7 0.76
07/01/1947 -1.37 0.5
08/01/1947 -1.33 -2.21
09/01/1947 0.45 -0.46
10/01/1947 -0.45 0.06
11/01/1947 0.82 0
12/01/1947 0.15 0.62
01/01/1948 -0.01 -0.01
02/01/1948 -0.58 -0.49
03/01/1948 -0.3 -0.6
04/01/1948 -1.06 -1.18
05/01/1948 -1.09 -1.55
06/01/1948 0.53 -0.42
07/01/1948 -0.79 -0.23
08/01/1948 0.33 -0.62
09/01/1948 -0.19 -0.1
10/01/1948 0.08 -0.25
11/01/1948 -0.55 -0.29
12/01/1948 0.63 -0.12
01/01/1949 0.16 0.43
02/01/1949 -1.24 -0.64
03/01/1949 0.32 -0.13
04/01/1949 -1.48 -0.98
05/01/1949 0.73 -0.02
06/01/1949 0.6 0.84
07/01/1949 0.05 0.31
08/01/1949 0.17 -0.02
09/01/1949 -0.1 -0.15
10/01/1949 1.68 0.85
11/01/1949 -1.31 1.19
12/01/1949 -0.37 -1.48
01/01/1950 0.06 -0.29
02/01/1950 -0.16 -0.19
03/01/1950 -0.49 -0.6
04/01/1950 -1.79 -1.89
05/01/1950 -0.91 -1.72
06/01/1950 -1.73 -2.01
07/01/1950 1.03 0.01
08/01/1950 1.4 1.61
09/01/1950 0.33 1.02
10/01/1950 -1.06 -0.27
11/01/1950 -0.21 -1.13
12/01/1950 -1.28 -0.97
01/01/1951 -1.16 -2.21
02/01/1951 -1.31 -2.13
03/01/1951 -0.95 -1.49
04/01/1951 -0.77 -1.28
05/01/1951 0.32 -0.2
06/01/1951 1.84 1.49
07/01/1951 1.32 1.97
08/01/1951 -0.03 1.18
09/01/1951 0.65 0.37
10/01/1951 0.64 0.72
11/01/1951 -0.23 0.35
12/01/1951 0.59 0.03
01/01/1952 0.28 0.47
02/01/1952 0.61 0.47
03/01/1952 -0.41 -0.13
04/01/1952 -1.03 -1.23
05/01/1952 0.61 0
06/01/1952 -1.43 -0.38
07/01/1952 -1.2 -1.84
08/01/1952 -1.44 -2.11
09/01/1952 -0.55 -1.55
10/01/1952 -1.06 -1.16
11/01/1952 0.42 -0.66
12/01/1952 -0.68 -0.08
01/01/1953 -0.41 -0.84
02/01/1953 0.43 -0.02
03/01/1953 -0.65 -0.39
04/01/1953 0.87 0.42
05/01/1953 -1.08 -0.23
06/01/1953 -0.03 -0.89
07/01/1953 0.8 0.49
08/01/1953 -0.22 0.53
09/01/1953 -2.21 -1.41
10/01/1953 0.59 -0.77
11/01/1953 0.67 0.68
12/01/1953 -0.56 0.21
01/01/1954 -1.24 -1.5
02/01/1954 -1.31 -2.21
03/01/1954 -0.18 -0.67
04/01/1954 -0.75 -0.86
05/01/1954 0.19 -0.3
06/01/1954 0.85 0.62
07/01/1954 -1.57 -0.29
08/01/1954 0.95 -0.58
09/01/1954 0.8 1.08
10/01/1954 -0.18 0.5
11/01/1954 -0.74 -0.61
12/01/1954 -0.24 -0.93
01/01/1955 0.34 -0.01
02/01/1955 0.43 0.37
03/01/1955 -1.95 -0.94
04/01/1955 -1.75 -2.7
05/01/1955 1.63 0.84
06/01/1955 0 1.29
07/01/1955 -0.14 -0.2
08/01/1955 -0.28 -0.45
09/01/1955 0.17 -0.22
10/01/1955 -0.41 -0.19
11/01/1955 1.11 0.25
12/01/1955 -0.2 0.77
01/01/1956 -0.5 -0.57
02/01/1956 -0.31 -0.67
03/01/1956 -1.78 -1.52
04/01/1956 -0.38 -1.1
05/01/1956 -0.79 -0.94
06/01/1956 0.25 -0.49
07/01/1956 0.48 0.39
08/01/1956 0.88 0.79
09/01/1956 -2.09 -0.35
10/01/1956 -0.36 -1.64
11/01/1956 0.64 -0.06
12/01/1956 -0.16 0.32
01/01/1957 -0.2 -0.34
02/01/1957 -0.27 -0.44
03/01/1957 -0.54 -0.68
04/01/1957 0.37 -0.03
05/01/1957 1.59 1.4
06/01/1957 0.58 1.56
07/01/1957 0.09 0.32
08/01/1957 -0.21 -0.19
09/01/1957 0.1 -0.23
10/01/1957 1.92 1.12
11/01/1957 -0.44 1.55
12/01/1957 -0.28 -0.73
01/01/1958 -0.76 -0.8
02/01/1958 -0.23 -0.77
03/01/1958 0.11 -0.1
04/01/1958 0.4 0.26
05/01/1958 0.1 0.19
06/01/1958 0.89 0.59
07/01/1958 1.81 1.81
08/01/1958 -0.2 1.68
09/01/1958 -0.57 -0.73
10/01/1958 -0.86 -1.08
11/01/1958 -0.48 -1.13
12/01/1958 0.24 -0.38
01/01/1959 0.45 0.34
02/01/1959 0.19 0.29
03/01/1959 -0.09 -0.12
04/01/1959 -1.86 -1.58
05/01/1959 0.43 -0.4
06/01/1959 0.97 0.88
07/01/1959 -0.52 0.24
08/01/1959 0.41 -0.36
09/01/1959 0.4 0.4
10/01/1959 0.54 0.46
11/01/1959 -1.2 0.02
12/01/1959 -1.5 -2.72
01/01/1960 0.16 -0.66
02/01/1960 2.14 1.68
03/01/1960 -0.54 0.83
04/01/1960 0.99 0.57
05/01/1960 0.37 0.75
06/01/1960 -0.97 -0.42
07/01/1960 -0.58 -1.12
08/01/1960 0.36 -0.44
09/01/1960 -0.22 -0.09
10/01/1960 0.44 -0.06
11/01/1960 -0.32 0.12
12/01/1960 0.15 -0.34
01/01/1961 -1.24 -0.7
02/01/1961 0.54 -0.26
03/01/1961 0.51 0.53
04/01/1961 0.21 0.3
05/01/1961 1.28 1.06
06/01/1961 -1.71 0.22
07/01/1961 0.79 -0.22
08/01/1961 -0.76 0.31
09/01/1961 0.97 0.35
10/01/1961 -0.31 0.62
11/01/1961 -0.35 -0.58
12/01/1961 -0.8 -0.93
