Sample Station, USA
date spi1 spi2 spi3
01/01/1931 -1.75 -99 -99
02/01/1931 -1.75 -1.75 -99
03/01/1931 -1.75 -1.75 -1.75
04/01/1931 -1.75 -1.75 -1.75
05/01/1931 -1.75 -1.75 -1.75
06/01/1931 -1.75 -1.75 -1.75
07/01/1931 -1.75 -1.75 -1.75
08/01/1931 -1.75 -1.75 -1.75
09/01/1931 -1.75 -1.75 -1.75
10/01/1931 -1.75 -1.75 -1.75
11/01/1931 -1.75 -1.75 -1.75
12/01/1931 -1.75 -1.75 -1.75
01/01/1932 -1.7 -1.75 -1.75
02/01/1932 -1.7 -1.7 -1.75
03/01/1932 -1.7 -1.7 -1.7
04/01/1932 -1.7 -1.7 -1.7
05/01/1932 -1.7 -1.7 -1.7
06/01/1932 -1.7 -1.7 -1.7
07/01/1932 -1.7 -1.7 -1.7
08/01/1932 -1.7 -1.7 -1.7
09/01/1932 -1.7 -1.7 -1.7
10/01/1932 -1.7 -1.7 -1.7
11/01/1932 -1.7 -1.7 -1.7
12/01/1932 -1.7 -1.7 -1.7
01/01/1933 -1.65 -1.7 -1.7
02/01/1933 -1.65 -1.65 -1.7
03/01/1933 -1.65 -1.65 -1.65
04/01/1933 -1.65 -1.65 -1.65
05/01/1933 -1.65 -1.65 -1.65
06/01/1933 -1.65 -1.65 -1.65
07/01/1933 -1.65 -1.65 -1.65
08/01/1933 -1.65 -1.65 -1.65
09/01/1933 -1.65 -1.65 -1.65
10/01/1933 -1.65 -1.65 -1.65
11/01/1933 -1.65 -1.65 -1.65
12/01/1933 -1.65 -1.65 -1.65
01/01/1934 -1.61 -1.65 -1.65
02/01/1934 -1.61 -1.61 -1.65
03/01/1934 -1.6 -1.6 -1.6
04/01/1934 -1.6 -1.6 -1.6
05/01/1934 -1.6 -1.6 -1.6
06/01/1934 -1.6 -1.6 -1.6
07/01/1934 -1.6 -1.6 -1.6
08/01/1934 -1.6 -1.6 -1.6
09/01/1934 -1.6 -1.6 -1.6
10/01/1934 -1.6 -1.6 -1.6
11/01/1934 -1.6 -1.6 -1.6
12/01/1934 -1.6 -1.6 -1.6
01/01/1935 -1.56 -1.6 -1.6
02/01/1935 -1.56 -1.56 -1.6
03/01/1935 -1.56 -1.56 -1.56
04/01/1935 -1.56 -1.56 -1.56
05/01/1935 -1.56 -1.56 -1.56
06/01/1935 -1.56 -1.56 -1.56
07/01/1935 -1.56 -1.56 -1.56
08/01/1935 -1.56 -1.56 -1.56
09/01/1935 -1.56 -1.56 -1.56
10/01/1935 -1.56 -1.56 -1.56
11/01/1935 -1.56 -1.56 -1.56
12/01/1935 -1.56 -1.56 -1.56
01/01/1936 -1.51 -1.56 -1.56
02/01/1936 -1.51 -1.51 -1.56
03/01/1936 -1.51 -1.51 -1.51
04/01/1936 -1.51 -1.51 -1.51
05/01/1936 -1.51 -1.51 -1.51
06/01/1936 -1.51 -1.51 -1.51
07/01/1936 -1.51 -1.51 -1.51
08/01/1936 -1.51 -1.51 -1.51
