Date,Average PRCP,SPI,SPI Classification
1/1/1995,0.342258065,1.23,Moderately wet
2/1/1995,0.026071429,-0.84,Near normal
3/1/1995,0.234193548,1.14,Moderately wet
4/1/1995,0.074666667,0.57,Near normal
5/1/1995,0.018709677,0.18,Near normal
6/1/1995,0.046666667,1.25,Moderately wet
7/1/1995,0.000645161,-0.26,Near normal
8/1/1995,0.000967742,-0.1,Near normal
9/1/1995,0,-0.32,Near normal
10/1/1995,0.000967742,-1.15,Moderately dry
11/1/1995,0.007333333,-1.19,Moderately dry
12/1/1995,0.075483871,-0.12,Near normal
1/1/1996,0.161935484,0.31,Near normal
2/1/1996,0.27862069,1.16,Moderately wet
3/1/1996,0.093870968,0.11,Near normal
4/1/1996,0.030666667,-0.31,Near normal
5/1/1996,0.042903226,0.85,Near normal
6/1/1996,0.001333333,-0.22,Near normal
7/1/1996,0.001612903,0.33,Near normal
8/1/1996,0.000967742,-0.1,Near normal
9/1/1996,0.001333333,-0.06,Near normal
10/1/1996,0.034193548,0.41,Near normal
11/1/1996,0.087666667,0.61,Near normal
12/1/1996,0.258387097,1.21,Moderately wet
1/1/1997,0.282258065,0.97,Near normal
2/1/1997,0.0075,-1.22,Moderately dry
3/1/1997,0.005806452,-1.47,Moderately dry
4/1/1997,0.013333333,-0.91,Near normal
5/1/1997,0.003870968,-0.64,Near normal
6/1/1997,0.002666667,-0.07,Near normal
7/1/1997,0.000967742,-0.05,Near normal
8/1/1997,0.007419355,1.42,Moderately wet
9/1/1997,0.001333333,-0.06,Near normal
10/1/1997,0.018709677,0.02,Near normal
11/1/1997,0.249333333,2.26,Extermely wet
12/1/1997,0.11483871,0.26,Near normal
1/1/1998,0.334516129,1.2,Moderately wet
2/1/1998,0.509285714,2.07,Extermely wet
3/1/1998,0.135483871,0.48,Near normal
4/1/1998,0.113,1.09,Moderately wet
5/1/1998,0.086129032,1.61,Very wet
6/1/1998,0.011333333,0.41,Near normal
7/1/1998,0.008064516,2.44,Extermely wet
8/1/1998,0.000645161,-0.26,Near normal
9/1/1998,0.007666667,0.89,Near normal
10/1/1998,0.019354839,0.04,Near normal
11/1/1998,0.099,0.77,Near normal
12/1/1998,0.05516129,-0.36,Near normal
1/1/1999,0.11516129,-0.02,Near normal
2/1/1999,0.145,0.4,Near normal
3/1/1999,0.142258065,0.53,Near normal
4/1/1999,0.068,0.47,Near normal
5/1/1999,0.001935484,-0.87,Near normal
6/1/1999,0.010666667,0.38,Near normal
7/1/1999,0.001290323,0.15,Near normal
8/1/1999,0.002580645,0.46,Near normal
9/1/1999,0.006666667,0.77,Near normal
10/1/1999,0.006129032,-0.54,Near normal
11/1/1999,0.054666667,0.07,Near normal
12/1/1999,0.00516129,-1.27,Moderately dry
1/1/2000,0.213548387,0.62,Near normal
2/1/2000,0.274827586,1.15,Moderately wet
3/1/2000,0.071290323,-0.14,Near normal
4/1/2000,0.031,-0.3,Near normal
5/1/2000,0.025806452,0.42,Near normal
6/1/2000,0.002333333,-0.1,Near normal
7/1/2000,0.000322581,-0.49,Near normal
8/1/2000,0.000322581,-0.47,Near normal
9/1/2000,0.013666667,1.51,Very wet
10/1/2000,0.140967742,1.75,Very wet
11/1/2000,0.018333333,-0.82,Near normal
12/1/2000,0.009677419,-1.16,Moderately dry
1/1/2001,0.164516129,0.33,Near normal
2/1/2001,0.141071429,0.37,Near normal
3/1/2001,0.078709677,-0.05,Near normal
4/1/2001,0.073333333,0.55,Near normal
5/1/2001,0,-1.38,Moderately dry
6/1/2001,0.001666667,-0.18,Near normal
7/1/2001,0.000645161,-0.26,Near normal
8/1/2001,0.003225806,0.63,Near normal
9/1/2001,0.004333333,0.45,Near normal
10/1/2001,0.006451613,-0.52,Near normal
11/1/2001,0.098333333,0.76,Near normal
12/1/2001,0.202258065,0.89,Near normal
1/1/2002,0.047741935,-0.68,Near normal
2/1/2002,0.056428571,-0.4,Near normal
3/1/2002,0.046129032,-0.48,Near normal
4/1/2002,0.014,-0.88,Near normal
5/1/2002,0.035483871,0.68,Near normal
6/1/2002,0.003333333,-0.01,Near normal
7/1/2002,0.000645161,-0.26,Near normal
8/1/2002,0.001612903,0.16,Near normal
9/1/2002,0,-0.32,Near normal
10/1/2002,0.000322581,-1.38,Moderately dry
11/1/2002,0.078666667,0.48,Near normal
12/1/2002,0.232903226,1.07,Moderately wet
1/1/2003,0.049677419,-0.66,Near normal
2/1/2003,0.082857143,-0.11,Near normal
3/1/2003,0.036774194,-0.64,Near normal
4/1/2003,0.091333333,0.82,Near normal
5/1/2003,0.030645161,0.56,Near normal
6/1/2003,0.001666667,-0.18,Near normal
7/1/2003,0,-0.67,Near normal
8/1/2003,0.002580645,0.46,Near normal
9/1/2003,0,-0.32,Near normal
10/1/2003,0.009032258,-0.37,Near normal
11/1/2003,0.057333333,0.12,Near normal
12/1/2003,0.219354839,1,Moderately wet
1/1/2004,0.061935484,-0.52,Near normal
2/1/2004,0.153103448,0.46,Near normal
3/1/2004,0.020967742,-0.98,Near normal
4/1/2004,0.003333333,-1.49,Moderately dry
5/1/2004,0.000322581,-1.21,Moderately dry
6/1/2004,0.003333333,-0.01,Near normal
7/1/2004,0.005483871,1.78,Very wet
8/1/2004,0.002580645,0.46,Near normal
9/1/2004,0.004,0.4,Near normal
10/1/2004,0.134516129,1.69,Very wet
11/1/2004,0.038,-0.28,Near normal
12/1/2004,0.233870968,1.08,Moderately wet
1/1/2005,0.169677419,0.36,Near normal
2/1/2005,0.175714286,0.61,Near normal
3/1/2005,0.147741935,0.58,Near normal
4/1/2005,0.066666667,0.44,Near normal
5/1/2005,0.026129032,0.43,Near normal
6/1/2005,0.012,0.43,Near normal
7/1/2005,0.000967742,-0.05,Near normal
8/1/2005,0.000322581,-0.47,Near normal
9/1/2005,0,-0.32,Near normal
10/1/2005,0.006451613,-0.52,Near normal
11/1/2005,0.049666667,-0.03,Near normal
12/1/2005,0.165806452,0.66,Near normal
1/1/2006,0.117741935,0,Near normal
2/1/2006,0.057142857,-0.39,Near normal
3/1/2006,0.26483871,1.3,Moderately wet
4/1/2006,0.132666667,1.32,Moderately wet
5/1/2006,0.014193548,0,Near normal
6/1/2006,0,-0.67,Near normal
7/1/2006,0.002258065,0.64,Near normal
8/1/2006,0,-0.81,Near normal
9/1/2006,0.000666667,-0.19,Near normal
10/1/2006,0.002580645,-0.87,Near normal
11/1/2006,0.062,0.2,Near normal
12/1/2006,0.130967742,0.4,Near normal
1/1/2007,0.043225806,-0.74,Near normal
2/1/2007,0.135714286,0.33,Near normal
3/1/2007,0.025806452,-0.86,Near normal
4/1/2007,0.040333333,-0.07,Near normal
5/1/2007,0.009677419,-0.22,Near normal
6/1/2007,0.002666667,-0.07,Near normal
7/1/2007,0.002903226,0.92,Near normal
8/1/2007,0.000967742,-0.1,Near normal
9/1/2007,0.015666667,1.68,Very wet
10/1/2007,0.032258065,0.37,Near normal
11/1/2007,0.019666667,-0.77,Near normal
12/1/2007,0.052580645,-0.39,Near normal
1/1/2008,0.236451613,0.74,Near normal
2/1/2008,0.098965517,0.04,Near normal
3/1/2008,0.012580645,-1.22,Moderately dry
4/1/2008,0.012333333,-0.96,Near normal
5/1/2008,0.000967742,-1.04,Moderately dry
6/1/2008,0.001,-0.27,Near normal
7/1/2008,0.001290323,0.15,Near normal
8/1/2008,0.002258065,0.37,Near normal
9/1/2008,0.001333333,-0.06,Near normal
10/1/2008,0.007096774,-0.48,Near normal
11/1/2008,0.047666667,-0.07,Near normal
12/1/2008,0.112258065,0.24,Near normal
1/1/2009,0.078064516,-0.35,Near normal
2/1/2009,0,-1.38,Moderately dry
3/1/2009,0.086451613,0.03,Near normal
4/1/2009,0.01,-1.07,Moderately dry
5/1/2009,0.018064516,0.16,Near normal
6/1/2009,0.004666667,0.08,Near normal
7/1/2009,0.003870968,1.28,Moderately wet
8/1/2009,0.003548387,0.71,Near normal
9/1/2009,0.009,1.05,Moderately wet
10/1/2009,0.11,1.46,Moderately wet
11/1/2009,0.007,-1.2,Moderately dry
12/1/2009,0.080645161,-0.06,Near normal
1/1/2010,0.210967742,0.61,Near normal
2/1/2010,0.125,0.25,Near normal
3/1/2010,0.102903226,0.2,Near normal
4/1/2010,0.126,1.25,Moderately wet
5/1/2010,0.017419355,0.13,Near normal
6/1/2010,0.000666667,-0.34,Near normal
7/1/2010,0,-0.67,Near normal
8/1/2010,0.004193548,0.85,Near normal
9/1/2010,0.001666667,0.01,Near normal
10/1/2010,0.033225806,0.39,Near normal
11/1/2010,0.072333333,0.38,Near normal
12/1/2010,0.153225806,0.57,Near normal
1/1/2011,0.39,1.42,Moderately wet
2/1/2011,0.535555556,2.16,Extermely wet
3/1/2011,0.401764706,1.94,Very wet
4/1/2011,0.03875,-0.11,Near normal
5/1/2011,0.111111111,1.94,Very wet
6/1/2011,0.173333333,2.65,Extermely wet
7/1/2011,0,-0.67,Near normal
8/1/2011,0.0225,3.04,Extermely wet
9/1/2011,0.015,1.63,Very wet
10/1/2011,0.208571429,2.27,Extermely wet
11/1/2011,0.192727273,1.79,Very wet
12/1/2011,0.106666667,0.19,Near normal
1/1/2012,0.372,1.35,Moderately wet
2/1/2012,0.086,-0.08,Near normal
3/1/2012,0.334545455,1.64,Very wet
4/1/2012,0.276666667,2.56,Extermely wet
5/1/2012,0.125,2.11,Extermely wet
6/1/2012,0.105,2.01,Extermely wet
7/1/2012,0,-0.67,Near normal
8/1/2012,0,-0.81,Near normal
9/1/2012,0,-0.32,Near normal
10/1/2012,0.014516129,-0.13,Near normal
11/1/2012,0.148333333,1.35,Moderately wet
12/1/2012,0.165806452,0.66,Near normal
1/1/2013,0.028064516,-0.95,Near normal
2/1/2013,0.022857143,-0.9,Near normal
3/1/2013,0.031612903,-0.74,Near normal
4/1/2013,0.015333333,-0.82,Near normal
5/1/2013,0.002258065,-0.83,Near normal
6/1/2013,0,-0.67,Near normal
7/1/2013,0.000967742,-0.05,Near normal
8/1/2013,0.000322581,-0.47,Near normal
9/1/2013,0.000666667,-0.19,Near normal
10/1/2013,0.009354839,-0.35,Near normal
11/1/2013,0.014666667,-0.94,Near normal
12/1/2013,0.010322581,-1.15,Moderately dry
1/1/2014,0.001290323,-1.37,Moderately dry
2/1/2014,0.14,0.37,Near normal
3/1/2014,0.075483871,-0.09,Near normal
4/1/2014,0.035,-0.2,Near normal
5/1/2014,0.004193548,-0.61,Near normal
6/1/2014,0.001333333,-0.22,Near normal
7/1/2014,0.001290323,0.15,Near normal
8/1/2014,0,-0.81,Near normal
9/1/2014,0.011,1.26,Moderately wet
10/1/2014,0.038709677,0.5,Near normal
11/1/2014,0.047333333,-0.08,Near normal
12/1/2014,0.313870968,1.49,Moderately wet
1/1/2015,0,-1.38,Moderately dry
2/1/2015,0.049642857,-0.48,Near normal
3/1/2015,0.014193548,-1.17,Moderately dry
4/1/2015,0.031666667,-0.28,Near normal
5/1/2015,0.013870968,-0.01,Near normal
6/1/2015,0,-0.67,Near normal
7/1/2015,0.003548387,1.16,Moderately wet
8/1/2015,0.000322581,-0.47,Near normal
9/1/2015,0,-0.32,Near normal
10/1/2015,0.00516129,-0.61,Near normal
11/1/2015,0.062,0.2,Near normal
12/1/2015,0.136129032,0.44,Near normal
1/1/2016,0.217741935,0.64,Near normal
2/1/2016,0.036551724,-0.67,Near normal
3/1/2016,0.192903226,0.89,Near normal
4/1/2016,0.024333333,-0.5,Near normal
5/1/2016,0.006774194,-0.4,Near normal
6/1/2016,0,-0.67,Near normal
