Date,Average PRCP,SPI,TAVG,SPI Classification
1/1/1995,0.739677419,2.01,48.2,Extermely wet
2/1/1995,0.058928571,-0.88,53,Near normal
3/1/1995,0.476774194,2.23,51.3,Extermely wet
4/1/1995,0.142,1.06,56,Moderately wet
5/1/1995,0.031290323,-0.01,64.3,Near normal
6/1/1995,0.064333333,1.17,72.1,Moderately wet
7/1/1995,0,0.32,80.3,Near normal
8/1/1995,0,0.43,79.2,Near normal
9/1/1995,0,-0.67,75.6,Near normal
10/1/1995,0,-1.15,65.6,Moderately dry
11/1/1995,0.008666667,-1.58,57.3,Severely dry
12/1/1995,0.348709677,0.91,48.3,Near normal
1/1/1996,0.311612903,0.78,45.5,Near normal
2/1/1996,0.312413793,0.94,51.7,Near normal
3/1/1996,0.059354839,-0.66,55.1,Near normal
4/1/1996,0.084666667,0.23,58.1,Near normal
5/1/1996,0.138064516,1.53,65.5,Very wet
6/1/1996,0.004666667,-0.56,77,Near normal
7/1/1996,0.010645161,1.34,84.5,Moderately wet
8/1/1996,0,0.43,81.8,Near normal
9/1/1996,0.018333333,0.47,72.4,Near normal
10/1/1996,0.040322581,0.03,61.9,Near normal
11/1/1996,0.1,0.03,52.9,Near normal
12/1/1996,0.270322581,0.62,48.5,Near normal
1/1/1997,0.218064516,0.38,46.4,Near normal
2/1/1997,0.025714286,-1.51,51.1,Severely dry
3/1/1997,0.056774194,-0.71,56.3,Near normal
4/1/1997,0.081,0.17,59.4,Near normal
5/1/1997,0.013870968,-0.59,71.2,Near normal
6/1/1997,0.063666667,1.16,74.9,Moderately wet
7/1/1997,0.000322581,0.4,81.6,Near normal
8/1/1997,0.020322581,1.96,77.5,Very wet
9/1/1997,0.054,1.33,72.6,Moderately wet
10/1/1997,0.108387097,0.87,60.4,Near normal
11/1/1997,0.302,1.58,52.2,Very wet
12/1/1997,0.106451613,-0.26,45.7,Near normal
1/1/1998,0.451612903,1.26,46.2,Moderately wet
2/1/1998,0.564285714,1.87,46.5,Very wet
3/1/1998,0.181290323,0.63,52.1,Near normal
4/1/1998,0.094333333,0.39,55.8,Near normal
5/1/1998,0.247419355,2.41,57.1,Extermely wet
6/1/1998,0.057,1.03,69.7,Moderately wet
7/1/1998,0.004516129,0.88,81.5,Near normal
8/1/1998,0,0.43,81.5,Near normal
9/1/1998,0.002,-0.36,75.7,Near normal
10/1/1998,0.074193548,0.51,61.9,Near normal
11/1/1998,0.309666667,1.62,50.2,Very wet
12/1/1998,0.07,-0.57,44.1,Near normal
1/1/1999,0.100322581,-0.35,47.5,Near normal
2/1/1999,0.273571429,0.75,45.5,Near normal
3/1/1999,0.110645161,0,49,Near normal
4/1/1999,0.057666667,-0.29,59,Near normal
5/1/1999,0.018709677,-0.39,67.3,Near normal
6/1/1999,0.013333333,-0.16,74.9,Near normal
7/1/1999,0,0.32,79.3,Near normal
8/1/1999,0.007419355,1.15,77.9,Moderately wet
9/1/1999,0,-0.67,76.5,Near normal
10/1/1999,0.032903226,-0.1,64.8,Near normal
11/1/1999,0.183666667,0.8,53.4,Near normal
12/1/1999,0.020322581,-1.23,47.4,Moderately dry
1/1/2000,0.247419355,0.52,46.4,Near normal
2/1/2000,0.32,0.97,48.7,Near normal
3/1/2000,0.131612903,0.21,53.8,Near normal
4/1/2000,0.119,0.76,60.1,Near normal
5/1/2000,0.038064516,0.16,65.7,Near normal
6/1/2000,0.037,0.58,78.9,Near normal
7/1/2000,0.003548387,0.79,77.4,Near normal
8/1/2000,0,0.43,78.4,Near normal
9/1/2000,0.102666667,2.07,73.4,Extermely wet
10/1/2000,0.120645161,0.99,61.3,Near normal
11/1/2000,0.032666667,-0.99,47.4,Near normal
12/1/2000,0.060967742,-0.66,47.2,Near normal
1/1/2001,0.18483871,0.21,44,Near normal
2/1/2001,0.288214286,0.82,46.6,Near normal
3/1/2001,0.108709677,-0.02,57.5,Near normal
