Date,Average PRCP,SPI,SPI Classification
1/1/1995,0.798709677,1.29,Moderately wet
2/1/1995,0,-1.62,Severely dry
3/1/1995,0.601290323,1.64,Very wet
4/1/1995,0.153333333,0.79,Near normal
5/1/1995,0.086451613,0.59,Near normal
6/1/1995,0.014333333,0.46,Near normal
7/1/1995,0,9999,Extermely wet
8/1/1995,0,1.25,Moderately wet
9/1/1995,0,0.07,Near normal
10/1/1995,0,-0.63,Near normal
11/1/1995,0.010333333,-0.6,Near normal
12/1/1995,0.491935484,1.06,Moderately wet
1/1/1996,0.402903226,0.65,Near normal
2/1/1996,0.322413793,0.47,Near normal
3/1/1996,0.112258065,-0.07,Near normal
4/1/1996,0.127333333,0.58,Near normal
5/1/1996,0.088387097,0.6,Near normal
6/1/1996,0.002,0.05,Near normal
7/1/1996,0,9999,Extermely wet
8/1/1996,0,1.25,Moderately wet
9/1/1996,0.006,0.64,Near normal
10/1/1996,0.051290323,0.13,Near normal
11/1/1996,0.133333333,0.35,Near normal
12/1/1996,0.545806452,1.19,Moderately wet
1/1/1997,0.413225806,0.67,Near normal
2/1/1997,0.041785714,-1.25,Moderately dry
3/1/1997,0.079032258,-0.27,Near normal
4/1/1997,0.034666667,-0.36,Near normal
5/1/1997,0.039677419,0.21,Near normal
6/1/1997,0.021333333,0.61,Near normal
7/1/1997,0,9999,Extermely wet
8/1/1997,0.029032258,2.13,Extermely wet
9/1/1997,0.023,2.26,Extermely wet
10/1/1997,0.07516129,0.37,Near normal
11/1/1997,0.333,1.44,Moderately wet
12/1/1997,0.139032258,-0.13,Near normal
1/1/1998,0.536129032,0.9,Near normal
2/1/1998,0.7975,1.85,Very wet
3/1/1998,0.214516129,0.43,Near normal
4/1/1998,0.076333333,0.09,Near normal
5/1/1998,0.207096774,1.23,Moderately wet
6/1/1998,0.007,0.27,Near normal
7/1/1998,0,9999,Extermely wet
8/1/1998,0,1.25,Moderately wet
9/1/1998,0,0.07,Near normal
10/1/1998,0.075806452,0.38,Near normal
11/1/1998,0.296666667,1.28,Moderately wet
12/1/1998,0,-0.8,Near normal
1/1/1999,0,-1,Moderately dry
2/1/1999,0.469285714,0.98,Near normal
3/1/1999,0.180322581,0.28,Near normal
4/1/1999,0.068666667,0.01,Near normal
5/1/1999,0.004193548,-0.31,Near normal
6/1/1999,0,-0.2,Near normal
7/1/1999,0,9999,Extermely wet
8/1/1999,0.016451613,1.35,Moderately wet
9/1/1999,0,0.07,Near normal
10/1/1999,0.042258065,0.02,Near normal
11/1/1999,0.176,0.63,Near normal
12/1/1999,0.041935484,-0.62,Near normal
1/1/2000,0.258387097,0.33,Near normal
2/1/2000,0.414827586,0.81,Near normal
3/1/2000,0.08,-0.26,Near normal
4/1/2000,0.098333333,0.31,Near normal
5/1/2000,0.084516129,0.58,Near normal
6/1/2000,0.040666667,0.91,Near normal
7/1/2000,0,9999,Extermely wet
8/1/2000,0,1.25,Moderately wet
