Date,Average PRCP,SPI,SPI Classification
1/1/1995,0.160967742,1.74,Very wet
2/1/1995,0.005714286,-0.76,Near normal
3/1/1995,0.208709677,2.27,Extermely wet
4/1/1995,0.027,0.02,Near normal
5/1/1995,0.038387097,1.58,Very wet
6/1/1995,0.011666667,0.98,Near normal
7/1/1995,0,9999,Extermely wet
8/1/1995,0,1.38,Moderately wet
9/1/1995,0,0.81,Near normal
10/1/1995,0,-0.32,Near normal
11/1/1995,0,-0.67,Near normal
12/1/1995,0.087741935,0.81,Near normal
1/1/1996,0.061612903,0.5,Near normal
2/1/1996,0.104482759,1.16,Moderately wet
3/1/1996,0.067096774,0.64,Near normal
4/1/1996,0.042666667,0.6,Near normal
5/1/1996,0.016451613,0.46,Near normal
6/1/1996,0,0.32,Near normal
7/1/1996,0,9999,Extermely wet
8/1/1996,0,1.38,Moderately wet
9/1/1996,0,0.81,Near normal
10/1/1996,0.044193548,1.26,Moderately wet
11/1/1996,0.072,1.42,Moderately wet
12/1/1996,0.12516129,1.25,Moderately wet
1/1/1997,0.148064516,1.61,Very wet
2/1/1997,0.005357143,-0.77,Near normal
3/1/1997,0.01,-0.67,Near normal
4/1/1997,0,-0.81,Near normal
5/1/1997,0,-0.43,Near normal
6/1/1997,0,0.32,Near normal
7/1/1997,0,9999,Extermely wet
8/1/1997,0,1.38,Moderately wet
9/1/1997,0,0.81,Near normal
10/1/1997,0.00483871,-0.06,Near normal
11/1/1997,0.094333333,1.76,Very wet
12/1/1997,0.053548387,0.31,Near normal
1/1/1998,0.113870968,1.23,Moderately wet
2/1/1998,0.165,1.79,Very wet
3/1/1998,0.131935484,1.51,Very wet
4/1/1998,0.067666667,1.35,Moderately wet
5/1/1998,0.051612903,2.1,Extermely wet
6/1/1998,0.041666667,1.97,Very wet
7/1/1998,0,9999,Extermely wet
8/1/1998,0,1.38,Moderately wet
9/1/1998,0.033,2.29,Extermely wet
10/1/1998,0.008387097,0.11,Near normal
11/1/1998,0.031666667,0.6,Near normal
12/1/1998,0.02,-0.35,Near normal
1/1/1999,0,-0.97,Near normal
2/1/1999,0.035714286,0.09,Near normal
3/1/1999,0.025483871,-0.21,Near normal
4/1/1999,0.058,1.08,Moderately wet
5/1/1999,0,-0.43,Near normal
6/1/1999,0,0.32,Near normal
7/1/1999,0,9999,Extermely wet
8/1/1999,0,1.38,Moderately wet
9/1/1999,0.011666667,1.53,Very wet
10/1/1999,0,-0.32,Near normal
11/1/1999,0.024333333,0.4,Near normal
12/1/1999,0,-0.81,Near normal
1/1/2000,0.07,0.63,Near normal
2/1/2000,0.153103448,1.68,Very wet
3/1/2000,0.046774194,0.27,Near normal
4/1/2000,0.034333333,0.3,Near normal
5/1/2000,0.016129032,0.44,Near normal
6/1/2000,0.031666667,1.69,Very wet
7/1/2000,0,9999,Extermely wet
8/1/2000,0.003225806,2.22,Extermely wet
9/1/2000,0,0.81,Near normal
10/1/2000,0.066774194,1.76,Very wet
11/1/2000,0,-0.67,Near normal
12/1/2000,0.003225806,-0.76,Near normal
1/1/2001,0.070322581,0.64,Near normal
2/1/2001,0.136428571,1.51,Very wet
3/1/2001,0.014193548,-0.54,Near normal
4/1/2001,0.048,0.77,Near normal
5/1/2001,0,-0.43,Near normal
6/1/2001,0,0.32,Near normal
