date," ""spi1""",
1/1/1995," ""1","23"""
2/1/1995," ""-0","84"""
3/1/1995," ""1","14"""
4/1/1995," ""0","57"""
5/1/1995," ""0","18"""
6/1/1995," ""1","25"""
7/1/1995," ""-0","26"""
8/1/1995," ""-0","1"""
9/1/1995," ""-0","32"""
10/1/1995," ""-1","15"""
11/1/1995," ""-1","19"""
12/1/1995," ""-0","12"""
1/1/1996," ""0","31"""
2/1/1996," ""1","16"""
3/1/1996," ""0","11"""
4/1/1996," ""-0","31"""
5/1/1996," ""0","85"""
6/1/1996," ""-0","22"""
7/1/1996," ""0","33"""
8/1/1996," ""-0","1"""
9/1/1996," ""-0","06"""
10/1/1996," ""0","41"""
11/1/1996," ""0","61"""
12/1/1996," ""1","21"""
1/1/1997," ""0","97"""
2/1/1997," ""-1","22"""
3/1/1997," ""-1","47"""
4/1/1997," ""-0","91"""
5/1/1997," ""-0","64"""
6/1/1997," ""-0","07"""
7/1/1997," ""-0","05"""
8/1/1997," ""1","42"""
9/1/1997," ""-0","06"""
10/1/1997," ""0","02"""
11/1/1997," ""2","26"""
12/1/1997," ""0","26"""
1/1/1998," ""1","2"""
2/1/1998," ""2","07"""
3/1/1998," ""0","48"""
4/1/1998," ""1","09"""
5/1/1998," ""1","61"""
6/1/1998," ""0","41"""
7/1/1998," ""2","44"""
8/1/1998," ""-0","26"""
9/1/1998," ""0","89"""
10/1/1998," ""0","04"""
11/1/1998," ""0","77"""
12/1/1998," ""-0","36"""
1/1/1999," ""-0","02"""
2/1/1999," ""0","4"""
3/1/1999," ""0","53"""
4/1/1999," ""0","47"""
5/1/1999," ""-0","87"""
6/1/1999," ""0","38"""
7/1/1999," ""0","15"""
8/1/1999," ""0","46"""
9/1/1999," ""0","77"""
10/1/1999," ""-0","54"""
11/1/1999," ""0","07"""
12/1/1999," ""-1","27"""
1/1/2000," ""0","62"""
2/1/2000," ""1","15"""
3/1/2000," ""-0","14"""
4/1/2000," ""-0","3"""
5/1/2000," ""0","42"""
6/1/2000," ""-0","1"""
7/1/2000," ""-0","49"""
8/1/2000," ""-0","47"""
9/1/2000," ""1","51"""
10/1/2000," ""1","75"""
11/1/2000," ""-0","82"""
12/1/2000," ""-1","16"""
1/1/2001," ""0","33"""
2/1/2001," ""0","37"""
3/1/2001," ""-0","05"""
4/1/2001," ""0","55"""
5/1/2001," ""-1","38"""
6/1/2001," ""-0","18"""
7/1/2001," ""-0","26"""
8/1/2001," ""0","63"""
9/1/2001," ""0","45"""
10/1/2001," ""-0","52"""
11/1/2001," ""0","76"""
12/1/2001," ""0","89"""
1/1/2002," ""-0","68"""
