date," ""spi1""",
1/1/1995," ""2","01"""
2/1/1995," ""-0","88"""
3/1/1995," ""2","23"""
4/1/1995," ""1","06"""
5/1/1995," ""-0","01"""
6/1/1995," ""1","17"""
7/1/1995," ""0","32"""
8/1/1995," ""0","43"""
9/1/1995," ""-0","67"""
10/1/1995," ""-1","15"""
11/1/1995," ""-1","58"""
12/1/1995," ""0","91"""
1/1/1996," ""0","78"""
2/1/1996," ""0","94"""
3/1/1996," ""-0","66"""
4/1/1996," ""0","23"""
5/1/1996," ""1","53"""
6/1/1996," ""-0","56"""
7/1/1996," ""1","34"""
8/1/1996," ""0","43"""
9/1/1996," ""0","47"""
10/1/1996," ""0","03"""
11/1/1996," ""0","03"""
12/1/1996," ""0","62"""
1/1/1997," ""0","38"""
2/1/1997," ""-1","51"""
3/1/1997," ""-0","71"""
4/1/1997," ""0","17"""
5/1/1997," ""-0","59"""
6/1/1997," ""1","16"""
7/1/1997," ""0","4"""
8/1/1997," ""1","96"""
9/1/1997," ""1","33"""
10/1/1997," ""0","87"""
11/1/1997," ""1","58"""
12/1/1997," ""-0","26"""
1/1/1998," ""1","26"""
2/1/1998," ""1","87"""
3/1/1998," ""0","63"""
4/1/1998," ""0","39"""
5/1/1998," ""2","41"""
6/1/1998," ""1","03"""
7/1/1998," ""0","88"""
8/1/1998," ""0","43"""
9/1/1998," ""-0","36"""
10/1/1998," ""0","51"""
11/1/1998," ""1","62"""
12/1/1998," ""-0","57"""
1/1/1999," ""-0","35"""
2/1/1999," ""0","75"""
3/1/1999," ""0""",
4/1/1999," ""-0","29"""
5/1/1999," ""-0","39"""
6/1/1999," ""-0","16"""
7/1/1999," ""0","32"""
8/1/1999," ""1","15"""
9/1/1999," ""-0","67"""
10/1/1999," ""-0","1"""
11/1/1999," ""0","8"""
12/1/1999," ""-1","23"""
1/1/2000," ""0","52"""
2/1/2000," ""0","97"""
3/1/2000," ""0","21"""
4/1/2000," ""0","76"""
5/1/2000," ""0","16"""
6/1/2000," ""0","58"""
7/1/2000," ""0","79"""
8/1/2000," ""0","43"""
9/1/2000," ""2","07"""
10/1/2000," ""0","99"""
11/1/2000," ""-0","99"""
12/1/2000," ""-0","66"""
1/1/2001," ""0","21"""
2/1/2001," ""0","82"""
3/1/2001," ""-0","02"""
4/1/2001," ""-0","07"""
5/1/2001," ""-1","89"""
6/1/2001," ""0","57"""
7/1/2001," ""0","32"""
8/1/2001," ""0","43"""
9/1/2001," ""0","41"""
10/1/2001," ""-0","22"""
11/1/2001," ""1","24"""
12/1/2001," ""0","74"""
1/1/2002," ""-0","29"""
2/1/2002," ""-0","39"""
3/1/2002," ""-0","32"""
4/1/2002," ""-0","56"""
5/1/2002," ""-0","27"""
6/1/2002," ""-0","81"""
7/1/2002," ""0","32"""
8/1/2002," ""0","43"""
9/1/2002," ""-0","21"""
10/1/2002," ""-1","15"""
11/1/2002," ""-0","21"""
12/1/2002," ""1","31"""
1/1/2003," ""0","36"""
2/1/2003," ""-0","6"""
3/1/2003," ""0","12"""
4/1/2003," ""1","03"""
