Date,avg prcp
Jan-95,0.269354839
Feb-95,0.044285714
Mar-95,0.139032258
Apr-95,0.034333333
May-95,0.009677419
Jun-95,0.026666667
Jul-95,0
Aug-95,0
Sep-95,0
Oct-95,0
Nov-95,0
Dec-95,0.009677419
Jan-96,0.03483871
Feb-96,0.119655172
Mar-96,0.036774194
Apr-96,0.004666667
May-96,0
Jun-96,0
Jul-96,0
Aug-96,0
Sep-96,0
Oct-96,0.017741935
Nov-96,0.050333333
Dec-96,0
Jan-97,0.11516129
Feb-97,0
Mar-97,0
Apr-97,0.004
May-97,0
Jun-97,0.001666667
Jul-97,0
Aug-97,0
Sep-97,0.022
Oct-97,0
Nov-97,0.038
Dec-97,0.100645161
Jan-98,0.085806452
Feb-98,0.36
Mar-98,0
Apr-98,0.027333333
May-98,0.049354839
Jun-98,0.004
Jul-98,0.003225806
Aug-98,0.006451613
Sep-98,0
Oct-98,0
Nov-98,0.018333333
Dec-98,0.014516129
Jan-99,0.04516129
Feb-99,0.011785714
Mar-99,0.003548387
Apr-99,0
May-99,0
Jun-99,0.013666667
Jul-99,0.006451613
Aug-99,0
Sep-99,0
Oct-99,0
Nov-99,0
Dec-99,0.001290323
Jan-00,0.021935484
Feb-00,0.101724138
Mar-00,0.052580645
Apr-00,0.021666667
May-00,0
Jun-00,0
Jul-00,0
Aug-00,0
Sep-00,0
Oct-00,0.01516129
Nov-00,0.001666667
Dec-00,0
Jan-01,0
Feb-01,0.138928571
Mar-01,0.033225806
Apr-01,0
May-01,0
Jun-01,0
Jul-01,0.014516129
Aug-01,0
Sep-01,0
Oct-01,0.002903226
Nov-01,0.058
Dec-01,0
Jan-02,0.008064516
Feb-02,0
Mar-02,0.006774194
Apr-02,0.007666667
May-02,0
Jun-02,0
Jul-02,0
Aug-02,0
Sep-02,0
Oct-02,0
Nov-02,0.033333333
Dec-02,0
Jan-03,0
Feb-03,0.171428571
Mar-03,0.112258065
Apr-03,0.055
May-03,0.00516129
Jun-03,0
Jul-03,0
Aug-03,0
Sep-03,0
Oct-03,0
Nov-03,0
Dec-03,0.011290323
Jan-04,0
Feb-04,0.146896552
Mar-04,0
Apr-04,0.019
May-04,0
Jun-04,0
Jul-04,0
Aug-04,0
Sep-04,0
Oct-04,0.170322581
Nov-04,0.031666667
Dec-04,0.045806452
Jan-05,0.177096774
Feb-05,0
Mar-05,0
Apr-05,0.026
May-05,0.012903226
Jun-05,0
Jul-05,0
Aug-05,0.029032258
Sep-05,0
Oct-05,0
Nov-05,0
Dec-05,0
Jan-06,0.000645161
Feb-06,0.058571429
Mar-06,0
Apr-06,0
May-06,0
Jun-06,0
Jul-06,0.003225806
Aug-06,0
Sep-06,0
Oct-06,0
Nov-06,0
Dec-06,0.019354839
Jan-07,0
Feb-07,0
Mar-07,0
Apr-07,0
May-07,0
Jun-07,0
Jul-07,0
Aug-07,0
Sep-07,0.006
Oct-07,0
Nov-07,0.068333333
Dec-07,0
Jan-08,0
Feb-08,0.018275862
Mar-08,0
Apr-08,0
May-08,0.010322581
Jun-08,0
Jul-08,0
Aug-08,0
Sep-08,0
Oct-08,0
Nov-08,0.032666667
Dec-08,0
Jan-09,0
Feb-09,0
Mar-09,0
Apr-09,0
May-09,0
Jun-09,0
Jul-09,0
Aug-09,0
Sep-09,0
Oct-09,0
Nov-09,0
Dec-09,0
Jan-11,0.01125
Feb-11,0.089166667
Mar-11,0.018333333
Apr-11,0.004166667
May-11,0.013913043
Jun-11,0
Jul-11,0.0125
Aug-11,0
Sep-11,0
Oct-11,0.015185185
Nov-11,0.0375
Dec-11,0.032692308
Jan-12,0.007241379
Feb-12,0.017826087
Mar-12,0.045384615
Apr-12,0.053157895
May-12,0
Jun-12,0
Jul-12,0.001111111
Aug-12,0
Sep-12,0
Oct-12,0.023225806
Nov-12,0.013
Dec-12,0.05
Jan-13,0.023548387
Feb-13,0.033928571
Mar-13,0.019032258
Apr-13,0
May-13,0.001935484
Jun-13,0
Jul-13,0.006451613
Aug-13,0.033870968
Sep-13,0
Oct-13,0.01516129
Nov-13,0.038333333
Dec-13,0.008709677
Jan-14,0
Feb-14,0.040714286
Mar-14,0.013548387
Apr-14,0.019
May-14,0
Jun-14,0
Jul-14,0
Aug-14,0.011935484
Sep-14,0.034
Oct-14,0
Nov-14,0.02
Dec-14,0.1
Jan-15,0.021290323
Feb-15,0.019285714
Mar-15,0.006774194
Apr-15,0.014333333
May-15,0.027096774
Jun-15,0
Jul-15,0.050967742
Aug-15,0
Sep-15,0.058333333
Oct-15,0.010645161
Nov-15,0.01
Dec-15,0.023548387
Jan-16,0.08
Feb-16,0.007931034
Mar-16,0.026451613
Apr-16,0.014666667
May-16,0.008387097
Jun-16,0
Jul-16,0
Aug-16,0
Sep-16,0
Oct-16,0.039032258
Nov-16,0.038
Dec-16,0.105806452
Jan-17,0.175806452
Feb-17,0.085
Mar-17,0.007419355
Apr-17,0.002666667
May-17,0.003548387
Jun-17,0
Jul-17,0
Aug-17,0.019354839
Sep-17,0
Oct-17,0
Nov-17,0.002
Dec-17,0
Jan-18,0.052903226
Feb-18,0.028214286
Mar-18,0.062903226
Apr-18,0
May-18,0.006774194
Jun-18,0
Jul-18,0.001612903
Aug-18,0
Sep-18,0
Oct-18,0
Nov-18,0
Dec-18,0
