date," ""spi1""",
1/1/1995," ""2","03"""
2/1/1995," ""0","04"""
3/1/1995," ""2","18"""
4/1/1995," ""1","22"""
5/1/1995," ""0","64"""
6/1/1995," ""2","16"""
7/1/1995," ""0","28"""
8/1/1995," ""0","78"""
9/1/1995," ""0","94"""
10/1/1995," ""0","28"""
11/1/1995," ""-0","51"""
12/1/1995," ""0","12"""
1/1/1996," ""0","26"""
2/1/1996," ""0","9"""
3/1/1996," ""0","64"""
4/1/1996," ""-0","18"""
5/1/1996," ""0","05"""
6/1/1996," ""0","94"""
7/1/1996," ""0","28"""
8/1/1996," ""0","78"""
9/1/1996," ""0","94"""
10/1/1996," ""0","73"""
11/1/1996," ""1","17"""
12/1/1996," ""-0","16"""
1/1/1997," ""1","08"""
2/1/1997," ""-0","78"""
3/1/1997," ""-0","39"""
4/1/1997," ""-0","22"""
5/1/1997," ""0","05"""
6/1/1997," ""1","01"""
7/1/1997," ""0","28"""
8/1/1997," ""0","78"""
9/1/1997," ""1","29"""
10/1/1997," ""0","28"""
11/1/1997," ""0","83"""
12/1/1997," ""1","7"""
1/1/1998," ""0","83"""
2/1/1998," ""2","47"""
3/1/1998," ""-0","39"""
4/1/1998," ""0","95"""
5/1/1998," ""2","52"""
6/1/1998," ""1","13"""
7/1/1998," ""0","57"""
8/1/1998," ""0","83"""
9/1/1998," ""0","94"""
10/1/1998," ""0","28"""
11/1/1998," ""0","16"""
12/1/1998," ""0","25"""
1/1/1999," ""0","4"""
2/1/1999," ""-0","54"""
3/1/1999," ""-0","28"""
4/1/1999," ""-0","39"""
5/1/1999," ""0","05"""
6/1/1999," ""1","61"""
7/1/1999," ""0","8"""
8/1/1999," ""0","78"""
9/1/1999," ""0","94"""
10/1/1999," ""0","28"""
11/1/1999," ""-0","51"""
12/1/1999," ""-0","13"""
1/1/2000," ""0","06"""
2/1/2000," ""0","73"""
3/1/2000," ""0","96"""
4/1/2000," ""0","71"""
5/1/2000," ""0","05"""
6/1/2000," ""0","94"""
7/1/2000," ""0","28"""
8/1/2000," ""0","78"""
9/1/2000," ""0","94"""
10/1/2000," ""0","68"""
11/1/2000," ""-0","48"""
12/1/2000," ""-0","16"""
1/1/2001," ""-0","51"""
2/1/2001," ""1","07"""
3/1/2001," ""0","56"""
4/1/2001," ""-0","39"""
5/1/2001," ""0","05"""
6/1/2001," ""0","94"""
7/1/2001," ""1","25"""
8/1/2001," ""0","78"""
9/1/2001," ""0","94"""
10/1/2001," ""0","36"""
11/1/2001," ""1","36"""
12/1/2001," ""-0","16"""
1/1/2002," ""-0","23"""
2/1/2002," ""-0","78"""
3/1/2002," ""-0","17"""
4/1/2002," ""-0","01"""
5/1/2002," ""0","05"""
6/1/2002," ""0","94"""
7/1/2002," ""0","28"""
8/1/2002," ""0","78"""
9/1/2002," ""0","94"""
10/1/2002," ""0","28"""
11/1/2002," ""0","68"""
12/1/2002," ""-0","16"""
1/1/2003," ""-0","51"""
2/1/2003," ""1","33"""
3/1/2003," ""1","86"""
4/1/2003," ""1","89"""
5/1/2003," ""0","34"""
6/1/2003," ""0","94"""
7/1/2003," ""0","28"""
8/1/2003," ""0","78"""
9/1/2003," ""0","94"""
10/1/2003," ""0","28"""
11/1/2003," ""-0","51"""
12/1/2003," ""0","16"""
1/1/2004," ""-0","51"""
2/1/2004," ""1","14"""
3/1/2004," ""-0","39"""
4/1/2004," ""0","59"""
5/1/2004," ""0","05"""
6/1/2004," ""0","94"""
7/1/2004," ""0","28"""
8/1/2004," ""0","78"""
9/1/2004," ""0","94"""
10/1/2004," ""2","75"""
11/1/2004," ""0","63"""
12/1/2004," ""0","91"""
1/1/2005," ""1","52"""
2/1/2005," ""-0","78"""
3/1/2005," ""-0","39"""
4/1/2005," ""0","9"""
5/1/2005," ""0","85"""
6/1/2005," ""0","94"""
7/1/2005," ""0","28"""
8/1/2005," ""1","74"""
9/1/2005," ""0","94"""
10/1/2005," ""0","28"""
11/1/2005," ""-0","51"""
12/1/2005," ""-0","16"""
1/1/2006," ""-0","47"""
2/1/2006," ""0","24"""
3/1/2006," ""-0","39"""
4/1/2006," ""-0","39"""
5/1/2006," ""0","05"""
6/1/2006," ""0","94"""
7/1/2006," ""0","57"""
8/1/2006," ""0","78"""
9/1/2006," ""0","94"""
10/1/2006," ""0","28"""
11/1/2006," ""-0","51"""
12/1/2006," ""0","37"""
1/1/2007," ""-0","51"""
2/1/2007," ""-0","78"""
3/1/2007," ""-0","39"""
4/1/2007," ""-0","39"""
5/1/2007," ""0","05"""
6/1/2007," ""0","94"""
7/1/2007," ""0","28"""
8/1/2007," ""0","78"""
9/1/2007," ""0","99"""
10/1/2007," ""0","28"""
11/1/2007," ""1","6"""
12/1/2007," ""-0","16"""
1/1/2008," ""-0","51"""
2/1/2008," ""-0","41"""
3/1/2008," ""-0","39"""
4/1/2008," ""-0","39"""
5/1/2008," ""0","69"""
6/1/2008," ""0","94"""
7/1/2008," ""0","28"""
8/1/2008," ""0","78"""
9/1/2008," ""0","94"""
10/1/2008," ""0","28"""
11/1/2008," ""0","66"""
12/1/2008," ""-0","16"""
1/1/2009," ""-0","51"""
2/1/2009," ""-0","78"""
3/1/2009," ""-0","39"""
4/1/2009," ""-0","39"""
5/1/2009," ""0","05"""
6/1/2009," ""0","94"""
7/1/2009," ""0","28"""
8/1/2009," ""0","78"""
9/1/2009," ""0","94"""
10/1/2009," ""0","28"""
11/1/2009," ""-0","51"""
12/1/2009," ""-0","16"""
1/1/2011," ""-0","15"""
2/1/2011," ""0","6"""
3/1/2011," ""0","19"""
4/1/2011," ""-0","21"""
5/1/2011," ""0","91"""
6/1/2011," ""0","94"""
7/1/2011," ""1","15"""
8/1/2011," ""0","78"""
9/1/2011," ""0","94"""
10/1/2011," ""0","68"""
11/1/2011," ""0","81"""
12/1/2011," ""0","66"""
1/1/2012," ""-0","25"""
2/1/2012," ""-0","42"""
3/1/2012," ""0","82"""
4/1/2012," ""1","84"""
5/1/2012," ""0","05"""
6/1/2012," ""0","94"""
7/1/2012," ""0","39"""
8/1/2012," ""0","78"""
9/1/2012," ""0","94"""
10/1/2012," ""0","85"""
11/1/2012," ""-0","05"""
12/1/2012," ""0","98"""
1/1/2013," ""0","08"""
2/1/2013," ""-0","12"""
3/1/2013," ""0","21"""
4/1/2013," ""-0","39"""
5/1/2013," ""0","13"""
6/1/2013," ""0","94"""
7/1/2013," ""0","8"""
8/1/2013," ""1","96"""
9/1/2013," ""0","94"""
10/1/2013," ""0","68"""
11/1/2013," ""0","84"""
12/1/2013," ""0","09"""
1/1/2014," ""-0","51"""
2/1/2014," ""-0","02"""
3/1/2014," ""0","05"""
4/1/2014," ""0","59"""
5/1/2014," ""0","05"""
6/1/2014," ""0","94"""
7/1/2014," ""0","28"""
8/1/2014," ""0","98"""
9/1/2014," ""1","56"""
10/1/2014," ""0","28"""
11/1/2014," ""0","23"""
12/1/2014," ""1","7"""
1/1/2015," ""0","05"""
2/1/2015," ""-0","39"""
3/1/2015," ""-0","17"""
4/1/2015," ""0","36"""
5/1/2015," ""1","61"""
6/1/2015," ""0","94"""
7/1/2015," ""2","58"""
8/1/2015," ""0","78"""
9/1/2015," ""2","09"""
10/1/2015," ""0","57"""
11/1/2015," ""-0","17"""
12/1/2015," ""0","46"""
1/1/2016," ""0","78"""
2/1/2016," ""-0","62"""
3/1/2016," ""0","4"""
4/1/2016," ""0","37"""
5/1/2016," ""0","56"""
6/1/2016," ""0","94"""
7/1/2016," ""0","28"""
8/1/2016," ""0","78"""
9/1/2016," ""0","94"""
10/1/2016," ""1","15"""
11/1/2016," ""0","83"""
12/1/2016," ""1","77"""
1/1/2017," ""1","51"""
2/1/2017," ""0","56"""
3/1/2017," ""-0","15"""
4/1/2017," ""-0","29"""
5/1/2017," ""0","23"""
6/1/2017," ""0","94"""
7/1/2017," ""0","28"""
8/1/2017," ""1","29"""
9/1/2017," ""0","94"""
10/1/2017," ""0","28"""
11/1/2017," ""-0","48"""
12/1/2017," ""-0","16"""
1/1/2018," ""0","49"""
2/1/2018," ""-0","22"""
3/1/2018," ""1","14"""
4/1/2018," ""-0","39"""
5/1/2018," ""0","45"""
6/1/2018," ""0","94"""
7/1/2018," ""0","44"""
8/1/2018," ""0","78"""
9/1/2018," ""0","94"""
10/1/2018," ""0","28"""
11/1/2018," ""-0","51"""
12/1/2018," ""-0","16"""
