Date,avg prcp
Jan-95,0.798709677
Feb-95,0
Mar-95,0.601290323
Apr-95,0.153333333
May-95,0.086451613
Jun-95,0.014333333
Jul-95,0
Aug-95,0
Sep-95,0
Oct-95,0
Nov-95,0.010333333
Dec-95,0.491935484
Jan-96,0.402903226
Feb-96,0.322413793
Mar-96,0.112258065
Apr-96,0.127333333
May-96,0.088387097
Jun-96,0.002
Jul-96,0
Aug-96,0
Sep-96,0.006
Oct-96,0.051290323
Nov-96,0.133333333
Dec-96,0.545806452
Jan-97,0.413225806
Feb-97,0.041785714
Mar-97,0.079032258
Apr-97,0.034666667
May-97,0.039677419
Jun-97,0.021333333
Jul-97,0
Aug-97,0.029032258
Sep-97,0.023
Oct-97,0.07516129
Nov-97,0.333
Dec-97,0.139032258
Jan-98,0.536129032
Feb-98,0.7975
Mar-98,0.214516129
Apr-98,0.076333333
May-98,0.207096774
Jun-98,0.007
Jul-98,0
Aug-98,0
Sep-98,0
Oct-98,0.075806452
Nov-98,0.296666667
Dec-98,0
Jan-99,0
Feb-99,0.469285714
Mar-99,0.180322581
Apr-99,0.068666667
May-99,0.004193548
Jun-99,0
Jul-99,0
Aug-99,0.016451613
Sep-99,0
Oct-99,0.042258065
Nov-99,0.176
Dec-99,0.041935484
Jan-00,0.258387097
Feb-00,0.414827586
Mar-00,0.08
Apr-00,0.098333333
May-00,0.084516129
Jun-00,0.040666667
Jul-00,0
Aug-00,0
Sep-00,0.010666667
Oct-00,0.094193548
Nov-00,0.066333333
Dec-00,0.050645161
Jan-01,0
Feb-01,0.285714286
Mar-01,0.113548387
Apr-01,0
May-01,0
Jun-01,0.021
Jul-01,0
Aug-01,0
Sep-01,0.007
Oct-01,0.022258065
Nov-01,0.312
Dec-01,0.346451613
Jan-02,0.134193548
Feb-02,0.108928571
Mar-02,0.067419355
Apr-02,0.023333333
May-02,0.024516129
Jun-02,0
Jul-02,0
Aug-02,0
Sep-02,0
Oct-02,0
Nov-02,0.199333333
Dec-02,0.717741935
Jan-03,0.121612903
Feb-03,0.117142857
Mar-03,0.128709677
Apr-03,0.326666667
May-03,0.020322581
Jun-03,0
Jul-03,0
Aug-03,0
Sep-03,0.007666667
Oct-03,0
Nov-03,0.141333333
Dec-03,0
Jan-04,0.063225806
Feb-04,0.449310345
Mar-04,0.047096774
Apr-04,0
May-04,0.009032258
Jun-04,0.001
Jul-04,0
Aug-04,0
Sep-04,0.005
Oct-04,0.172258065
Nov-04,0
Dec-04,0.217419355
Jan-05,0.266451613
Feb-05,0.129642857
Mar-05,0.147096774
Apr-05,0.091333333
May-05,0
Jun-05,0.072
Jul-05,0
Aug-05,0
Sep-05,0.001
Oct-05,0.027419355
Nov-05,0.194666667
Dec-05,0.714193548
Jan-06,0.237741935
Feb-06,0.183214286
Mar-06,0.357419355
Apr-06,0.262333333
May-06,0.013870968
Jun-06,0
Jul-06,0
Aug-06,0
Sep-06,0
Oct-06,0.006774194
Nov-06,0
Dec-06,0.235483871
Jan-07,0.016451613
Feb-07,0.343571429
Mar-07,0.027419355
Apr-07,0.079666667
May-07,0.020322581
Jun-07,0
Jul-07,0
Aug-07,0
Sep-07,0
Oct-07,0.083225806
Nov-07,0.02
Dec-07,0.235483871
Jan-08,0.491935484
Feb-08,0.18
Mar-08,0
Apr-08,0.014666667
May-08,0
Jun-08,0.000333333
Jul-08,0
Aug-08,0
Sep-08,0.009333333
Oct-08,0.039354839
Nov-08,0
Dec-08,0.112258065
Jan-09,0.02516129
Feb-09,0.348571429
Mar-09,0
Apr-09,0
May-09,0.094516129
Jun-09,0
Jul-09,0
Aug-09,0
Sep-09,0
Oct-09,0.11516129
Nov-09,0.058333333
Dec-09,0
Jan-10,0
Feb-10,0.156428571
Mar-10,0
Apr-10,0
May-10,0
Jun-10,0.012333333
Jul-10,0
Aug-10,0
Sep-10,0.002666667
Oct-10,0
Nov-10,0.108666667
Dec-10,0.294193548
Jan-11,1.105
Feb-11,0.494
Mar-11,0.662105263
Apr-11,0.1725
May-11,0.71
Jun-11,0.24875
Jul-11,0
Aug-11,0
Sep-11,0
Oct-11,0.59
Nov-11,0.237
Dec-11,0.02
Jan-12,0.737142857
Feb-12,0.28
Mar-12,0.727692308
Apr-12,0.19375
May-12,0
Jun-12,0
Jul-12,0
Aug-12,0
Sep-12,0
Oct-12,0.027083333
Nov-12,0
Dec-12,0.3725
Jan-13,0.000434783
Feb-13,0.009545455
Mar-13,0
Apr-13,0
May-13,0
Jun-13,0
Jul-13,0
Aug-13,0
Sep-13,0
Oct-13,0
Nov-13,0
Dec-13,0
