date," ""spi1""",
1/1/1995," ""1","29"""
2/1/1995," ""-1","62"""
3/1/1995," ""1","64"""
4/1/1995," ""0","79"""
5/1/1995," ""0","59"""
6/1/1995," ""0","46"""
7/1/1995," ""9999""",
8/1/1995," ""1","25"""
9/1/1995," ""0","07"""
10/1/1995," ""-0","63"""
11/1/1995," ""-0","6"""
12/1/1995," ""1","06"""
1/1/1996," ""0","65"""
2/1/1996," ""0","47"""
3/1/1996," ""-0","07"""
4/1/1996," ""0","58"""
5/1/1996," ""0","6"""
6/1/1996," ""0","05"""
7/1/1996," ""9999""",
8/1/1996," ""1","25"""
9/1/1996," ""0","64"""
10/1/1996," ""0","13"""
11/1/1996," ""0","35"""
12/1/1996," ""1","19"""
1/1/1997," ""0","67"""
2/1/1997," ""-1","25"""
3/1/1997," ""-0","27"""
4/1/1997," ""-0","36"""
5/1/1997," ""0","21"""
6/1/1997," ""0","61"""
7/1/1997," ""9999""",
8/1/1997," ""2","13"""
9/1/1997," ""2","26"""
10/1/1997," ""0","37"""
11/1/1997," ""1","44"""
12/1/1997," ""-0","13"""
1/1/1998," ""0","9"""
2/1/1998," ""1","85"""
3/1/1998," ""0","43"""
4/1/1998," ""0","09"""
5/1/1998," ""1","23"""
6/1/1998," ""0","27"""
7/1/1998," ""9999""",
8/1/1998," ""1","25"""
9/1/1998," ""0","07"""
10/1/1998," ""0","38"""
11/1/1998," ""1","28"""
12/1/1998," ""-0","8"""
1/1/1999," ""-1""",
2/1/1999," ""0","98"""
3/1/1999," ""0","28"""
4/1/1999," ""0","01"""
5/1/1999," ""-0","31"""
6/1/1999," ""-0","2"""
7/1/1999," ""9999""",
8/1/1999," ""1","35"""
9/1/1999," ""0","07"""
10/1/1999," ""0","02"""
11/1/1999," ""0","63"""
12/1/1999," ""-0","62"""
1/1/2000," ""0","33"""
2/1/2000," ""0","81"""
3/1/2000," ""-0","26"""
4/1/2000," ""0","31"""
5/1/2000," ""0","58"""
6/1/2000," ""0","91"""
7/1/2000," ""9999""",
8/1/2000," ""1","25"""
9/1/2000," ""1","16"""
10/1/2000," ""0","54"""
11/1/2000," ""-0","16"""
12/1/2000," ""-0","57"""
1/1/2001," ""-1""",
2/1/2001," ""0","32"""
3/1/2001," ""-0","06"""
4/1/2001," ""-0","63"""
5/1/2001," ""-0","48"""
6/1/2001," ""0","6"""
7/1/2001," ""9999""",
8/1/2001," ""1","25"""
9/1/2001," ""0","76"""
10/1/2001," ""-0","25"""
11/1/2001," ""1","35"""
12/1/2001," ""0","65"""
1/1/2002," ""-0","05"""
2/1/2002," ""-0","65"""
3/1/2002," ""-0","34"""
4/1/2002," ""-0","48"""
5/1/2002," ""0","04"""
6/1/2002," ""-0","2"""
7/1/2002," ""9999""",
8/1/2002," ""1","25"""
9/1/2002," ""0","07"""
10/1/2002," ""-0","63"""
11/1/2002," ""0","77"""
12/1/2002," ""1","58"""
1/1/2003," ""-0","1"""
2/1/2003," ""-0","59"""
3/1/2003," ""0","02"""
4/1/2003," ""1","92"""
5/1/2003," ""-0","02"""
6/1/2003," ""-0","2"""
7/1/2003," ""9999""",
8/1/2003," ""1","25"""
9/1/2003," ""0","83"""
10/1/2003," ""-0","63"""
11/1/2003," ""0","4"""
12/1/2003," ""-0","8"""
1/1/2004," ""-0","37"""
2/1/2004," ""0","92"""
3/1/2004," ""-0","48"""
4/1/2004," ""-0","63"""
5/1/2004," ""-0","2"""
6/1/2004," ""-0","02"""
7/1/2004," ""9999""",
8/1/2004," ""1","25"""
9/1/2004," ""0","52"""
10/1/2004," ""1","11"""
11/1/2004," ""-0","63"""
12/1/2004," ""0","2"""
1/1/2005," ""0","35"""
2/1/2005," ""-0","5"""
3/1/2005," ""0","11"""
4/1/2005," ""0","24"""
5/1/2005," ""-0","48"""
6/1/2005," ""1","26"""
7/1/2005," ""9999""",
8/1/2005," ""1","25"""
9/1/2005," ""0","1"""
10/1/2005," ""-0","17"""
11/1/2005," ""0","74"""
12/1/2005," ""1","57"""
1/1/2006," ""0","28"""
2/1/2006," ""-0","17"""
3/1/2006," ""0","96"""
4/1/2006," ""1","55"""
5/1/2006," ""-0","11"""
6/1/2006," ""-0","2"""
7/1/2006," ""9999""",
8/1/2006," ""1","25"""
9/1/2006," ""0","07"""
10/1/2006," ""-0","5"""
11/1/2006," ""-0","63"""
12/1/2006," ""0","27"""
1/1/2007," ""-0","73"""
2/1/2007," ""0","55"""
3/1/2007," ""-0","63"""
4/1/2007," ""0","13"""
5/1/2007," ""-0","02"""
6/1/2007," ""-0","2"""
7/1/2007," ""9999""",
8/1/2007," ""1","25"""
9/1/2007," ""0","07"""
10/1/2007," ""0","45"""
11/1/2007," ""-0","54"""
12/1/2007," ""0","27"""
1/1/2008," ""0","82"""
2/1/2008," ""-0","19"""
3/1/2008," ""-0","8"""
4/1/2008," ""-0","56"""
5/1/2008," ""-0","48"""
6/1/2008," ""-0","1"""
7/1/2008," ""9999""",
8/1/2008," ""1","25"""
9/1/2008," ""1","02"""
10/1/2008," ""-0","01"""
11/1/2008," ""-0","63"""
12/1/2008," ""-0","25"""
1/1/2009," ""-0","64"""
2/1/2009," ""0","57"""
3/1/2009," ""-0","8"""
4/1/2009," ""-0","63"""
5/1/2009," ""0","64"""
6/1/2009," ""-0","2"""
7/1/2009," ""9999""",
8/1/2009," ""1","25"""
9/1/2009," ""0","07"""
10/1/2009," ""0","71"""
11/1/2009," ""-0","22"""
12/1/2009," ""-0","8"""
1/1/2010," ""-1""",
2/1/2010," ""-0","33"""
3/1/2010," ""-0","8"""
4/1/2010," ""-0","63"""
5/1/2010," ""-0","48"""
6/1/2010," ""0","42"""
7/1/2010," ""9999""",
8/1/2010," ""1","25"""
9/1/2010," ""0","26"""
10/1/2010," ""-0","63"""
11/1/2010," ""0","17"""
12/1/2010," ""0","48"""
1/1/2011," ""1","66"""
2/1/2011," ""1","06"""
3/1/2011," ""1","79"""
4/1/2011," ""0","94"""
5/1/2011," ""2","71"""
6/1/2011," ""2","45"""
7/1/2011," ""9999""",
8/1/2011," ""1","25"""
9/1/2011," ""0","07"""
10/1/2011," ""2","89"""
11/1/2011," ""0","98"""
12/1/2011," ""-0","73"""
1/1/2012," ""1","2"""
2/1/2012," ""0","3"""
3/1/2012," ""1","93"""
4/1/2012," ""1","1"""
5/1/2012," ""-0","48"""
6/1/2012," ""-0","2"""
7/1/2012," ""9999""",
8/1/2012," ""1","25"""
9/1/2012," ""0","07"""
10/1/2012," ""-0","18"""
11/1/2012," ""-0","63"""
12/1/2012," ""0","73"""
1/1/2013," ""-0","98"""
2/1/2013," ""-1","57"""
3/1/2013," ""-0","8"""
4/1/2013," ""-0","63"""
5/1/2013," ""-0","48"""
6/1/2013," ""-0","2"""
7/1/2013," ""9999""",
8/1/2013," ""1","25"""
9/1/2013," ""0","07"""
10/1/2013," ""-0","63"""
11/1/2013," ""-0","63"""
12/1/2013," ""-0","8"""
