date," ""spi1""",
1/1/1995," ""1","74"""
2/1/1995," ""-0","76"""
3/1/1995," ""2","27"""
4/1/1995," ""0","02"""
5/1/1995," ""1","58"""
6/1/1995," ""0","98"""
7/1/1995," ""9999""",
8/1/1995," ""1","38"""
9/1/1995," ""0","81"""
10/1/1995," ""-0","32"""
11/1/1995," ""-0","67"""
12/1/1995," ""0","81"""
1/1/1996," ""0","5"""
2/1/1996," ""1","16"""
3/1/1996," ""0","64"""
4/1/1996," ""0","6"""
5/1/1996," ""0","46"""
6/1/1996," ""0","32"""
7/1/1996," ""9999""",
8/1/1996," ""1","38"""
9/1/1996," ""0","81"""
10/1/1996," ""1","26"""
11/1/1996," ""1","42"""
12/1/1996," ""1","25"""
1/1/1997," ""1","61"""
2/1/1997," ""-0","77"""
3/1/1997," ""-0","67"""
4/1/1997," ""-0","81"""
5/1/1997," ""-0","43"""
6/1/1997," ""0","32"""
7/1/1997," ""9999""",
8/1/1997," ""1","38"""
9/1/1997," ""0","81"""
10/1/1997," ""-0","06"""
11/1/1997," ""1","76"""
12/1/1997," ""0","31"""
1/1/1998," ""1","23"""
2/1/1998," ""1","79"""
3/1/1998," ""1","51"""
4/1/1998," ""1","35"""
5/1/1998," ""2","1"""
6/1/1998," ""1","97"""
7/1/1998," ""9999""",
8/1/1998," ""1","38"""
9/1/1998," ""2","29"""
10/1/1998," ""0","11"""
11/1/1998," ""0","6"""
12/1/1998," ""-0","35"""
1/1/1999," ""-0","97"""
2/1/1999," ""0","09"""
3/1/1999," ""-0","21"""
4/1/1999," ""1","08"""
5/1/1999," ""-0","43"""
6/1/1999," ""0","32"""
7/1/1999," ""9999""",
8/1/1999," ""1","38"""
9/1/1999," ""1","53"""
10/1/1999," ""-0","32"""
11/1/1999," ""0","4"""
12/1/1999," ""-0","81"""
1/1/2000," ""0","63"""
2/1/2000," ""1","68"""
3/1/2000," ""0","27"""
4/1/2000," ""0","3"""
5/1/2000," ""0","44"""
6/1/2000," ""1","69"""
7/1/2000," ""9999""",
8/1/2000," ""2","22"""
9/1/2000," ""0","81"""
10/1/2000," ""1","76"""
11/1/2000," ""-0","67"""
12/1/2000," ""-0","76"""
1/1/2001," ""0","64"""
2/1/2001," ""1","51"""
3/1/2001," ""-0","54"""
4/1/2001," ""0","77"""
5/1/2001," ""-0","43"""
6/1/2001," ""0","32"""
7/1/2001," ""9999""",
8/1/2001," ""1","38"""
9/1/2001," ""0","81"""
10/1/2001," ""0","41"""
11/1/2001," ""1","35"""
12/1/2001," ""1","58"""
1/1/2002," ""-0","03"""
2/1/2002," ""-0","69"""
3/1/2002," ""0","18"""
4/1/2002," ""-0","72"""
5/1/2002," ""-0","14"""
6/1/2002," ""0","32"""
7/1/2002," ""9999""",
8/1/2002," ""1","38"""
9/1/2002," ""0","81"""
10/1/2002," ""-0","32"""
11/1/2002," ""1","19"""
12/1/2002," ""0","29"""
1/1/2003," ""-0","54"""
2/1/2003," ""0","34"""
3/1/2003," ""-0","29"""
4/1/2003," ""1","23"""
5/1/2003," ""1","16"""
6/1/2003," ""0","32"""
7/1/2003," ""9999""",
8/1/2003," ""1","38"""
9/1/2003," ""0","81"""
10/1/2003," ""-0","32"""
11/1/2003," ""0","28"""
12/1/2003," ""0","69"""
1/1/2004," ""-0","15"""
2/1/2004," ""0","78"""
3/1/2004," ""0","26"""
4/1/2004," ""-0","54"""
5/1/2004," ""-0","43"""
6/1/2004," ""0","32"""
7/1/2004," ""9999""",
8/1/2004," ""1","38"""
9/1/2004," ""0","81"""
10/1/2004," ""1","51"""
11/1/2004," ""-0","67"""
12/1/2004," ""-0","81"""
1/1/2005," ""-0","97"""
2/1/2005," ""-0","97"""
3/1/2005," ""0","76"""
4/1/2005," ""0","22"""
5/1/2005," ""1","11"""
6/1/2005," ""0","32"""
7/1/2005," ""9999""",
8/1/2005," ""1","38"""
