STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
US1CATL0002,"LINDSAY 0.5 N, CA US",10/1/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/2/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/3/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/4/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/5/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/6/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/7/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/8/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/9/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/10/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/11/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/12/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/13/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/14/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/15/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/16/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/17/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/18/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/19/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/20/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/21/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/22/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/23/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/24/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/25/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/26/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/27/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/28/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/29/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/30/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",10/31/2008,0.01,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/1/2008,0.01,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/2/2008,0.61,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/3/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/4/2008,0.27,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/5/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/6/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/7/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/8/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/9/2008,0.11,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/10/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/11/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/12/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/13/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/14/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/15/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/16/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/17/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/18/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/19/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/20/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/21/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/22/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/23/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/24/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/25/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/26/2008,0.55,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/27/2008,0.11,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/28/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/29/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",11/30/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/1/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/2/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/3/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/4/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/5/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/6/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/7/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/8/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/9/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/10/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/11/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/12/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/13/2008,0,0,,,
US1CATL0002,"LINDSAY 0.5 N, CA US",12/14/2008,0.1,0,,,
