STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-04,2.98,54.2
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-05,2.22,56.8
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-06,0.15,59.8
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-07,0.07,60.1
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-08,0.01,
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-09,0.09,61.8
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-10,0.63,57.4
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-11,2.48,53.5
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1998-12,1.12,47.4
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-01,1.96,51.7
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-02,2.86,50.6
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-03,3.13,49.5
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-04,2.08,52.9
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-05,0.03,53.8
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-06,0.23,57
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-07,0.03,59.3
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-08,0,61.3
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-09,0.44,60.3
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-10,0.15,59
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-11,0.93,54.2
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,1999-12,0.11,50.6
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-01,5.26,51.6
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-02,5.28,53.5
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-03,2.4,52.1
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-04,0.72,55.5
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-05,0.24,57.5
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-06,0.06,59.7
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-07,0.01,58.8
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-08,0.01,60.2
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-09,0.18,62.4
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-10,2.93,57.6
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-11,0.28,50.8
USW00023259,"MONTEREY PENINSUL AIRPORT, CA US",36.58806,-121.84528,50.3,2000-12,0.09,52.9
