STATION,NAME,DATE,PRCP,TAVG
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-01,22.94,48.2
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-02,1.65,53
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-03,14.78,51.3
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-04,4.26,56
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-05,0.97,64.3
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-06,1.93,72.1
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-07,0,80.3
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-08,0,79.2
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-09,0,75.6
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-10,0,65.6
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-11,0.26,57.3
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1995-12,10.81,48.3
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-01,9.67,45.5
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-02,9.07,51.7
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-03,1.85,55.1
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-04,2.54,58.1
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-05,4.28,65.5
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-06,0.14,77
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-07,0.33,84.5
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-08,0,81.8
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-09,0.55,72.4
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-10,1.25,61.9
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-11,3,52.9
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1996-12,8.38,48.5
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1997-01,6.76,46.4
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1997-02,0.72,51.1
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1997-03,1.76,56.3
USW00024257,"REDDING MUNICIPAL AIRPORT, CA US",1997-04,2.43,59.4
