STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1995-10,0,62.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1995-11,0.31,56.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1995-12,15.25,49.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-01,12.48,47.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-02,9.34,51.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-03,3.48,55.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-04,3.82,57.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-05,2.74,62
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-06,0.06,68.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-07,0,77.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-08,0,74.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-09,0.18,68.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-10,1.59,60.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-11,4,52.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1996-12,16.93,48.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-01,12.81,48
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-02,1.17,49.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-03,2.45,54.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-04,1.04,56.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-05,1.23,65.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-06,0.64,66.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-07,0,73.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-08,0.9,71.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-09,0.69,68.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-10,2.33,58.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-11,9.99,53.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1997-12,4.31,46.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-01,16.63,49
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-02,22.33,47.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-03,6.65,52.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-04,2.29,54.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-05,6.42,55.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-06,0.21,66.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-07,0,73.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-08,0,75
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-09,0,70.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-10,2.35,58.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-11,8.91,50
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1998-12,1.26,44
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-01,4.15,46.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-02,13.14,46
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-03,5.59,48.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-04,2.06,55.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-05,0.13,59.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-06,0,66.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-07,0,69.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-08,0.51,71
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-10,1.31,62.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-11,5.28,53.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,1999-12,1.3,46.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-01,8.01,47.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-02,12.03,50.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-03,2.48,53
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-04,2.95,58
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-05,2.62,61.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-06,1.22,71.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-07,0,70
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-08,0,71.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-09,0.32,68.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-10,2.92,60
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-11,2,48.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2000-12,1.57,47.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-01,4.66,44.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-02,8,46.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-03,3.52,55.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-04,1.17,52.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-05,0,67.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-06,0.63,67.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-07,0,72.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-09,0.21,69.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-10,0.69,64.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-11,9.36,52.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2001-12,10.74,47.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-01,4.16,44.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-02,3.06,51.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-03,2.09,51.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-04,0.7,56.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-05,0.76,60.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-06,0,68
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-07,0,74.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-09,0,69.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-10,0,60
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-11,5.98,53.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2002-12,22.24,47.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-01,3.76,52.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-02,3.28,49.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-03,3.99,53
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-04,9.8,50.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-05,0.63,61.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-06,0,69
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-07,0,75.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-08,0,71
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-09,0.23,70.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-10,0.03,63.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-11,4.24,49
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2003-12,14.16,46.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-01,1.96,46.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-02,13.04,48.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-03,1.46,59.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-05,0.28,61.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-06,0.03,67
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-07,0,73.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-08,0,72.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-09,0.15,67.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-10,5.34,59.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-11,1.85,50.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2004-12,6.74,46.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-01,8.26,46.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-02,3.63,51.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-03,4.56,54.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-04,2.74,54
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-06,2.17,63.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-07,0,75.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-08,0,73.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-09,0.03,65.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-10,0.85,60.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-11,5.84,52.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2005-12,22.14,48
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-01,7.38,47.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-02,5.13,50
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-03,11.08,46.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-04,7.87,54.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-05,0.43,63.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-06,0,70.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-07,0,78
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-08,0,72
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-09,0,68.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-10,0.21,59.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-11,3.84,51.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2006-12,7.3,45.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-01,0.51,43.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-02,9.63,47.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-03,0.85,56.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-04,2.39,56
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-05,0.63,62.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-06,0,66.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-07,0,72.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-08,0,71.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-09,0,65.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-10,2.58,57.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-11,0.6,52.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2007-12,7.3,42.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-01,15.26,43.5
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-02,5.22,48.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-03,0.86,
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-04,0.44,54.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-05,0,
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-06,0.01,67.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-07,0,73.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-08,0,72.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-09,0.28,68.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-10,1.22,60.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-11,3.43,54
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2008-12,3.48,44
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-01,0.78,48.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-02,9.76,47.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-03,3.66,51.1
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-04,0.09,56.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-05,2.93,64.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-06,0,67.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-07,0,74.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-08,0,72
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-09,0.02,71
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-10,3.57,59
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2009-11,1.75,49.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-02,4.39,50.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-03,4.66,50.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-04,3.67,
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-05,1.98,55.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-06,0.37,
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-07,0,72.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-08,0,70.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-09,0.08,68.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-11,3.26,49.7
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2010-12,9.13,48.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-01,,46.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-03,,49.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-04,,54.8
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-06,,65.3
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-07,0,72
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-08,,72.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-10,,61
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2011-11,,49.9
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2012-01,,46.4
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2012-02,,49.2
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2012-04,,55.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2012-11,8.67,52.6
USC00049122,"UKIAH, CA US",39.1466,-123.2102,193.9,2012-12,11.91,45.2
