STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,TAVG
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-01,5,51.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-02,0.16,53
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-03,6.47,56.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-04,0.81,60.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-05,1.19,65.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-06,0.35,73.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-07,0,79.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-08,0,79.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-09,0,74
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-10,0,66.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-11,0,59.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1995-12,2.72,50.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-01,1.92,48.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-02,3.03,55
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-03,2.08,57.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-04,1.28,63
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-05,0.51,69.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-06,0,76.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-07,0,82.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-08,0,81.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-09,0,72.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-10,1.37,63.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-11,2.16,54
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1996-12,3.89,48.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-01,4.6,49.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-02,0.15,51.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-03,0.31,60.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-04,0,62.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-05,0,73.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-06,0,74.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-07,0,79.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-08,0,79.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-09,0,76.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-10,0.15,64
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-11,2.83,57.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1997-12,1.66,44.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-01,3.53,49.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-02,4.62,51.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-03,4.09,56.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-04,2.02,58.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-05,1.6,62.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-06,1.25,72.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-07,0,81.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-08,0,81.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-09,0.99,75.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-10,0.26,62
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-11,0.95,52.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1998-12,0.62,43.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-01,3.91,43.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-02,1,49.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-03,0.79,53.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-04,1.74,57.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-05,0,
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-06,0,73.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-07,0,78.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-08,0,76.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-09,0.35,74.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-10,0,67.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-11,0.73,56
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,1999-12,0,47.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-01,2.17,50.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-02,4.44,54.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-03,1.45,56.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-04,1.03,64.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-05,0.5,70.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-06,0.95,77.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-07,0,78.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-08,0.1,79.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-09,0,73.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-10,2.07,64.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-11,0,49.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2000-12,0.1,47.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-01,2.18,46.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-02,3.82,49.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-03,0.44,58.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-04,1.44,58.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-05,0,75.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-06,0,77.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-07,0,80.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-08,0,79.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-09,0,75
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-10,0.48,67.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-11,2.04,56.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2001-12,4.9,47.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-01,1.06,45.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-02,0.21,52.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-03,1.31,54.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-04,0.23,62.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-05,0.22,68.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-06,0,
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-07,0,82.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-08,0,78
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-09,0,75.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-10,0,64.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-11,1.76,54.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2002-12,1.63,49.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-01,0.45,49.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-02,1.37,51.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-03,0.7,57.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-04,1.91,57.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-05,0.91,67.9
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-06,0,77.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-07,0.02,84.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-08,0,79.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-09,0,77.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-10,0,69.1
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-11,0.61,51.4
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2003-12,2.45,49.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-01,0.9,46.6
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-02,2.2,50.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-03,1.43,62.3
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-04,0.4,64.7
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-05,0,69.5
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-06,0,76.2
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-07,0,80.8
USC00049367,"VISALIA, CA US",36.32833,-119.2997,92.4,2004-08,0,78.7
